Drug1,Drug2,Cell_Line,Tissue,Synergy,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
cyclophosphamide,Lapatinib,MDA.MB.436,breast,-7.519293682,-16.414585,-11.090392,-18.634892,-16.614017,-12.36549,-8.716879,-8.844545,-7.6604166,-13.669393,-16.54558,-16.51597,-10.45793,-13.460561,-18.73775,-15.404361,-10.816707,-13.959888,-14.4061365,-16.560377,-17.324034,-11.243679,-10.945457,-11.392336,-14.821677,-9.685288
cyclophosphamide,Niraparib,MDA.MB.436,breast,-7.115599144,-8.817351,-17.724771,-17.13077,-20.536613,-19.63499,-10.395087,-13.619654,-13.861119,-28.356659,-14.98204,-15.897498,-10.319173,-14.541518,-7.827189,-9.585181,-14.585732,-15.018142,-4.8724165,-16.378296,-19.907578,-16.334051,-11.991688,-13.697497,-9.290079,-13.358136
cyclophosphamide,MK-5108,MDA.MB.436,breast,-15.48911896,-7.6663556,-7.100147,-16.714888,-5.520449,-8.561864,-11.223376,-20.313957,-7.429993,-9.593796,-22.71977,-20.128515,-8.350125,-6.8392053,-41.082703,-22.428133,-13.068374,-14.1951475,-7.3573403,-13.33337,-19.621195,-28.835821,-20.521542,-27.02195,-20.83025,-12.955539
cyclophosphamide,Sunitinib,MDA.MB.436,breast,-20.1745728,-13.183461,-20.807724,-25.61713,-23.187447,-25.5449,-16.283424,-29.127804,-16.998745,-35.70603,-20.124096,-22.421705,-9.979532,-22.28596,-28.567957,-21.242916,-28.901415,-25.68296,-23.952509,-22.535278,-28.445314,-20.386038,-18.07521,-23.21286,-11.956121,-16.381226
Dasatinib,Deforolimus,MDA.MB.436,breast,10.92130714,6.2821836,8.327078,6.289589,4.6984143,4.5689344,0.40951768,3.3854892,7.1036973,1.6656613,4.9631763,5.6104336,4.9153814,6.7314386,5.784528,5.484451,5.760735,4.906768,1.6706897,7.0120416,4.9480405,6.197132,7.7087045,5.3205094,2.8048553,5.592677
Dasatinib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,-1.626686176,-3.408817,-0.91154027,-5.5517654,0.4172393,-8.002758,-5.6413836,-1.9769754,-1.4297119,1.1463535,-0.555416,-4.325998,-2.1408298,-1.0587273,2.0326872,-1.337918,-8.122799,-8.80837,-4.283993,-1.9946253,-6.5785704,-4.313718,1.967661,-5.7813,-2.7411478,-1.0635909
dexamethasone,915019-65-7,MDA.MB.436,breast,-23.82713573,-11.428232,-11.0275545,-19.83199,-5.2429147,-18.644348,-20.11375,-12.310286,-23.497313,-26.040485,-20.51508,-24.56478,-19.666351,-16.171387,-16.528522,-19.710411,-10.686232,-19.44727,-12.119773,-12.157914,-12.455933,-17.22142,-23.21066,-26.322392,-19.65075,-25.873142
dexamethasone,L-778123 free base,MDA.MB.436,breast,-10.16746637,-13.638646,-10.310067,-4.8707485,-8.436626,-9.767266,-13.107249,-7.8757167,-10.590047,-11.689602,-9.41561,-15.261587,-10.750575,-13.344587,-8.765822,-12.921131,-14.064661,-11.91084,-7.8197007,-12.453413,-8.5182905,-11.686388,-14.003671,-6.2939982,-14.940636,-11.033057
dexamethasone,MK-2206,MDA.MB.436,breast,-14.4087366,-6.311592,-13.48176,-17.357332,-13.096888,-13.998426,-18.513664,-7.461064,-17.249119,-12.001044,-16.986494,-12.651512,-15.839997,-14.667298,-12.968998,-16.54484,-12.149949,-17.379877,-17.136017,-11.483994,-14.285772,-17.983824,-14.263386,-12.038059,-13.16746,-19.210258
dexamethasone,MK-5108,MDA.MB.436,breast,-9.819935246,-5.348695,-8.483384,-11.04084,-8.1313715,-13.16206,-14.84555,-20.526014,-11.945217,-10.147987,-19.85576,-17.875551,-10.315544,-7.118987,-17.602673,-20.247484,-21.81588,-12.4082775,-4.0929966,-15.732669,-17.644316,-25.011927,-21.390577,-21.645054,-26.982756,-9.493974
dexamethasone,Sorafenib,MDA.MB.436,breast,-8.798237093,-13.908106,-3.6008525,-4.146364,-6.9834948,-11.131252,-12.563138,-10.364918,-6.960368,-11.795973,-17.582579,-9.56965,-12.093637,-14.224151,-6.9245214,-11.07089,-12.455067,-9.065169,-10.321923,-17.435202,-17.806662,-17.432016,-13.019127,-9.259238,-13.497045,-8.651598
doxorubicin,Veliparib,MDA.MB.436,breast,-1.223075749,-1.8327438,-0.7539504,2.8995104,0.81044674,0.6916883,-2.091723,-5.535743,-3.3375468,3.58568,-1.6711783,1.2907996,4.23992,0.3949528,-1.2230339,1.8400333,6.416464,6.2349114,-0.8729213,4.0420623,-1.7621515,-0.45157477,0.36014187,-0.9060739,1.4795744,-1.0624218
doxorubicin,L-778123 free base,MDA.MB.436,breast,-10.58763862,1.3001362,-1.3367475,-0.88981736,-2.1813421,-4.7385397,-6.318054,-4.5154905,-2.1711397,0.707537,1.8189223,2.444694,0.40692157,1.2975782,1.1105639,0.2657277,2.5173364,-4.1169715,-0.17334491,-0.18385077,0.19907397,3.0002143,2.896685,-2.8214257,-0.1688706,-0.8414596
doxorubicin,Lapatinib,MDA.MB.436,breast,-17.75543979,-7.163906,-6.6750164,-2.521116,-8.617098,-8.432781,-1.3799826,-10.922516,-6.1469526,-2.8051836,-6.773943,-4.009852,-6.798182,-1.1660682,-1.9404676,-3.515279,2.1795588,-4.725588,-5.3848314,-4.026311,-7.6494303,-4.6681952,-9.9920025,-5.4982166,-7.2352915,-9.636388
doxorubicin,MK-5108,MDA.MB.436,breast,-15.63395298,-11.053025,-12.457202,-9.096333,-12.40702,-17.059856,-15.471855,-10.267055,-14.139743,-6.7535715,-12.066393,-10.392674,-8.048125,-7.67875,-8.786494,-12.16513,-10.784527,-11.2518835,-11.899871,-11.33138,-13.050066,-11.08825,-9.856278,-9.406751,-11.416326,-10.818856
doxorubicin,Deforolimus,MDA.MB.436,breast,2.21191885,1.8053578,-0.34700474,1.6162187,1.9725366,1.9724059,-1.002004,0.55391544,0.51654387,2.0203352,0.49057478,-0.1764994,-0.04392518,1.7995921,2.6608682,0.19004172,0.41539195,-0.3069701,-3.2948472,-0.6493392,-0.6013813,-4.9156747,-0.23335397,0.089965396,1.7929857,2.3132062
Erlotinib,Dinaciclib,MDA.MB.436,breast,-4.096680118,-1.4482548,-0.3683018,0.14860058,-1.1102219,-2.1237319,1.5284222,-0.21227737,-1.1744756,-0.040325943,-3.16639,-1.7790637,-0.37076205,0.72207654,-1.6254739,-1.2141254,2.6961467,-2.382898,2.418484,-0.7167363,-0.22571245,0.3668566,-0.08129719,-1.1473783,1.9128717,0.25312597
etoposide,915019-65-7,MDA.MB.436,breast,7.252770121,9.215193,9.611583,4.3488173,9.853137,8.183574,10.795153,9.390106,11.427544,7.8205175,8.124268,6.973721,7.631279,7.536719,7.6049056,9.000813,6.4579577,7.880197,5.22781,10.829246,9.413488,5.8693004,7.8525443,8.240585,6.61041,8.960385
etoposide,Erlotinib,MDA.MB.436,breast,6.540797955,6.8419585,5.897463,5.1158996,5.7022405,5.92893,4.030393,2.5453498,5.288537,4.903982,3.675169,4.2387815,5.5255885,5.2092776,5.2978935,4.413724,4.848687,4.4760528,4.8912063,6.558554,5.497343,6.6186285,9.206653,6.2532067,4.025846,5.543391
etoposide,MK-5108,MDA.MB.436,breast,-1.107589387,-2.1658647,-1.1818124,-7.3485675,-2.5923238,-8.724953,-5.9756074,3.3179805,-1.7689928,-1.2656565,-2.8761494,-5.072458,-8.682836,-2.3395498,-4.7724004,-3.9880457,-3.525985,-4.391874,-1.6621068,-6.8591843,-4.9464283,-9.023418,-7.874447,-2.916937,-6.6066856,-4.5874963
etoposide,Sunitinib,MDA.MB.436,breast,-0.053147515,2.4262028,4.5271873,-5.4471383,1.1579478,1.8675952,5.7702713,2.9236202,4.438042,0.80449134,0.11600349,0.86611575,2.1535451,0.8859966,-3.1766944,3.9758475,0.44760874,-1.4064798,-3.3062978,1.1186857,3.0511847,-1.0815734,4.274901,1.9524294,1.3861649,3.4915822
geldanamycin,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,2.053382815,0.5881901,1.9222267,0.31270477,0.5214208,0.18580282,-0.1862292,-0.51428664,-1.77131,2.5958285,0.09997483,3.030475,0.00102487,0.29454672,1.6924367,1.9025266,-1.7368194,1.3649285,-0.23613992,2.2865982,0.86762965,2.6585815,2.566501,2.0928175,-0.20280597,0.2552457
gemcitabine,Veliparib,MDA.MB.436,breast,-3.583097081,-0.4124031,5.7193365,1.4367025,3.1364536,11.0620365,3.0014257,4.444004,2.5965784,-0.23093723,1.7590126,2.0313203,4.366056,-0.084622785,1.2037681,0.2730645,5.380259,3.4204,7.211078,3.0901468,-1.0747346,6.8215437,4.649244,-2.475197,3.0822675,9.29058
gemcitabine,MK-1775,MDA.MB.436,breast,17.63925667,0.9164531,3.0573022,2.421742,3.4853108,5.429383,5.6188726,4.1650324,4.0475864,9.441241,7.787307,3.2605875,3.5500934,3.3345392,3.1173425,3.293224,0.17774741,10.649387,8.247243,1.5618746,1.713282,2.4819303,5.585046,2.5386672,2.5560193,4.3786726
gemcitabine,Niraparib,MDA.MB.436,breast,-0.466280666,2.1658905,5.516025,5.149261,4.152504,8.747559,0.39505282,6.156218,2.597064,2.3432903,2.0157964,1.698877,6.009709,1.1870894,1.2443053,-1.0797193,4.9411454,6.686614,3.7672548,7.718235,5.6791687,3.7998855,6.123039,0.11117277,-0.59124833,4.868252
gemcitabine,temozolomide,MDA.MB.436,breast,-16.12673601,-12.469919,-4.710424,-11.779187,-6.124238,-8.032914,-7.6737485,-12.632528,-10.589468,-9.070539,-11.816134,-5.936234,-11.759977,-12.047181,-6.910724,-8.142381,-8.776428,-10.484777,-11.407138,-9.4367075,-11.2547455,-7.8510976,-8.456871,-13.794705,-12.605288,-8.001777
L-778123 free base,Veliparib,MDA.MB.436,breast,2.281808438,3.872478,2.5520983,2.480335,1.9175332,-4.571005,4.5047636,-0.5933412,3.7328053,-2.002125,-0.8537445,-4.1919427,-1.770218,1.8829201,5.3660903,5.1112247,-5.412679,-0.5632458,2.318865,-0.33777604,5.215394,6.65798,3.2793224,-3.3050785,2.4508436,-12.194545
L-778123 free base,Dasatinib,MDA.MB.436,breast,9.58843482,2.5902283,2.489105,3.5516748,7.0894504,4.8855596,5.369627,5.1824026,7.51343,7.4850893,2.3824034,1.3845026,4.029682,8.288455,6.57028,3.3747509,7.2195745,2.5899255,4.11149,3.789863,7.7100687,8.433131,2.6597219,3.7459412,1.9923546,11.718679
L-778123 free base,Erlotinib,MDA.MB.436,breast,3.202864378,8.789652,9.169859,2.8271441,9.263969,2.611785,1.3813453,1.5540901,6.685316,6.141977,4.2551913,7.0880365,5.052648,4.8498335,5.4511867,1.9217696,4.4490256,3.640822,8.35909,6.1385636,5.2628107,4.2672014,5.9558086,5.685579,5.233928,6.280743
L-778123 free base,gemcitabine,MDA.MB.436,breast,2.669406637,2.7375455,5.352557,7.5166783,3.3652258,2.3363662,0.7049524,-0.49132836,1.8760265,5.9409103,2.8376434,3.0021749,9.140821,3.6202476,5.5023713,2.8716621,3.2147934,4.277476,3.9907146,4.6318135,4.4199133,1.9829262,9.225252,-0.027111435,0.8920012,-0.53980446
L-778123 free base,891494-63-6,MDA.MB.436,breast,2.456561156,9.795923,9.201447,6.501882,10.047779,7.7363973,8.191106,6.3472314,4.334223,10.759937,7.3309174,7.02259,14.345368,6.988184,13.600884,8.445949,5.574011,4.0080748,6.2679505,8.087432,10.405032,3.5939178,7.9712296,8.596647,6.8585577,5.6127577
L-778123 free base,vinorelbine,MDA.MB.436,breast,0.642838836,1.3724918,-5.0439167,0.15155753,2.2413096,-2.9880986,-1.8295462,-4.867035,-2.697528,-0.025643568,-1.468345,0.0972078,-7.384425,-1.5624582,-0.78800094,-3.7458856,-1.3850482,0.883466,-0.14722508,0.4534175,-0.7740607,0.8221919,0.45247713,3.2645228,-3.6466956,2.70415
Lapatinib,Erlotinib,MDA.MB.436,breast,-4.786538605,-4.0052786,-2.1925087,0.45030424,1.1907442,-0.38967422,-3.7159913,1.510341,-0.6747117,2.4761212,-1.3302279,-0.42317146,0.80812246,0.79202914,1.7132407,3.7073777,-1.5025755,0.14531049,1.549008,-0.15456784,1.1808172,-6.3142314,1.0563811,-1.1293966,3.5046473,-0.33569652
Lapatinib,MK-2206,MDA.MB.436,breast,2.108111071,-1.8127209,-6.2212787,-2.3300192,0.20479244,-2.0991125,1.7696589,0.34324843,1.4145049,2.0017748,-0.87923044,1.1709491,0.4813972,0.729225,-5.0744424,-0.64344364,-0.93475693,0.17816363,-1.2627659,-0.45293212,0.34446308,-4.964976,0.29155535,-0.64150566,1.3281388,2.5102923
Lapatinib,891494-63-6,MDA.MB.436,breast,-1.736166723,-0.6300683,-2.668289,-0.8569308,-1.0346851,0.7000526,-3.557761,-5.347158,-3.2280583,-0.5124766,0.6453585,-0.2728228,0.35274523,-0.86471313,3.2481303,1.1284316,-0.40384853,-3.607766,3.6666474,-4.4270744,-0.49758127,-2.2363486,-0.5433806,-2.9216661,1.9534084,-1.6924824
Lapatinib,topotecan,MDA.MB.436,breast,-2.922561785,-4.913047,-0.23878641,-1.5082004,-4.0857854,-1.7476966,-1.6547356,-5.5234537,-1.4580685,-4.4387283,-6.56103,-0.18702371,-5.5668516,0.7463829,0.38764405,-0.079614714,-1.433956,-2.6920946,-6.348936,-0.76846015,-4.738322,4.397553,-5.265184,-0.64226854,-2.3159602,-1.3719987
metformin,Dinaciclib,MDA.MB.436,breast,-38.229995,-41.90944,-43.341587,-51.42801,-35.735916,-40.42761,-42.868008,-47.237694,-57.214348,-54.599113,-54.738274,-60.593925,-48.619724,-42.359753,-50.113365,-50.512707,-53.64029,-44.788914,-35.009808,-58.44256,-52.618813,-53.17513,-52.513912,-54.80487,-57.020813,-40.429493
metformin,MK-2206,MDA.MB.436,breast,-29.71710626,-13.735763,-22.624245,-28.576899,-14.985336,-22.83488,-23.502157,-17.94756,-27.58111,-18.609417,-25.88802,-24.86733,-22.396917,-26.25782,-18.2453,-17.579733,-24.695532,-20.384222,-21.454414,-23.160284,-27.655024,-22.361101,-17.251465,-18.99786,-20.272314,-24.10996
metformin,391210-10-9,MDA.MB.436,breast,-7.107499006,-15.921744,-18.317036,-21.405586,-24.578825,-14.672085,-18.514223,-12.462181,-29.934153,-15.572406,-24.757858,-26.018742,-14.557566,-23.678518,-19.556526,-10.321423,-18.448536,-11.497383,-13.777202,-8.152966,-18.78659,-20.12115,-11.684908,-16.294357,-30.220488,-16.1209
metformin,Sorafenib,MDA.MB.436,breast,-52.73360206,-21.374237,-16.0843,-24.584707,-17.224552,-21.294748,-28.389263,-24.76607,-17.511702,-23.098475,-25.086433,-18.845371,-23.194904,-28.216114,-23.247768,-22.0251,-27.06019,-26.773579,-20.539278,-22.827076,-15.580401,-22.333164,-24.709908,-23.782156,-17.47043,-31.726906
methotrexate,Bortezomib,MDA.MB.436,breast,-5.20083422,-6.680817,-10.06428,-6.7447686,-5.862716,-9.411002,-9.730837,-8.653619,-8.637785,-8.65714,-7.198183,-9.757086,-6.9173837,-4.367206,-7.6334586,-6.3351154,-4.723461,-5.813541,-7.518824,-9.091356,-5.7094336,-6.3776236,-5.9512305,-5.46284,-5.7829347,-4.9081354
methotrexate,Dasatinib,MDA.MB.436,breast,-23.93233688,-6.4676023,-5.7346787,-7.670811,-7.41535,-4.5634346,-6.752952,-2.7903411,-4.4685163,-3.0983777,-7.3277373,-7.8641167,-4.7314167,-5.741362,-4.7907386,-4.8665175,-5.8006883,-7.1483145,-6.9887953,-5.614723,-9.116571,-11.904081,-6.1909533,-9.009479,-6.921439,-3.5272427
methotrexate,geldanamycin,MDA.MB.436,breast,-8.165245482,-3.970913,-7.633663,-6.8512387,-3.3503063,-7.3061914,-3.7383826,-7.057783,-7.003101,-3.2554119,-5.149613,-8.4741,-5.6941824,-2.8587403,-4.6285696,-5.3475485,-6.8012486,-7.000261,-6.2841773,-6.451731,-5.375254,-7.262343,-5.0903597,-6.247409,-4.405937,-0.04953496
methotrexate,L-778123 free base,MDA.MB.436,breast,-13.70807595,-1.6331577,-3.4616237,-5.221697,-6.2377763,-9.933807,-7.012397,-9.5910845,-7.7893953,-3.4554672,-5.4809685,-7.396802,-4.923617,-1.7340604,-0.8330176,-1.5769773,-1.1604962,-5.425162,-3.256871,0.14210293,-3.0895367,-3.983006,-3.4139256,-6.522517,-4.8110657,-3.5857656
methotrexate,891494-63-6,MDA.MB.436,breast,-3.600864685,2.0199752,3.1992447,1.308919,-0.14696974,3.3723166,1.3498126,0.7087554,-7.3947444,3.6058831,-1.7009041,-8.321797,0.9008181,1.3320377,4.586904,4.8837614,0.8465008,-2.9060159,-2.9645321,3.7928152,-3.7818942,5.3469586,-4.0571733,-1.0183113,1.9107976,2.786714
methotrexate,temozolomide,MDA.MB.436,breast,-32.02494732,-8.731013,-10.291655,-12.792996,-8.398508,-4.3901634,-9.104515,-9.8313875,-8.452133,-10.618556,-13.623137,-6.722683,-11.680544,-13.213538,-7.922155,-3.6718976,-10.090645,-10.985713,-3.4639275,-8.883142,-15.761425,-13.517507,-9.599667,-13.537417,-15.360586,-0.57691675
mitomycin C,Erlotinib,MDA.MB.436,breast,-11.56153117,4.3685927,1.7999294,0.26710945,3.8863976,3.6263347,4.4325795,-1.7270758,3.9820075,-2.1733775,0.60858536,1.2973948,3.6225603,-1.0324132,-4.2070947,0.16429412,-0.89334095,5.4015927,3.7737105,0.49896738,3.7202358,4.634241,2.314692,5.004266,1.904902,4.217806
mitomycin C,L-778123 free base,MDA.MB.436,breast,-10.83347042,5.142859,2.10794,0.28999043,4.2942963,-1.5608561,-0.05514113,-3.410079,2.5339797,5.8034286,3.8909245,3.9188263,4.3330913,2.3402238,4.2249765,3.060054,2.9678729,2.8630595,7.127376,5.252198,1.8024808,3.9789605,7.357,2.8208451,2.9804335,-1.1097895
mitomycin C,temozolomide,MDA.MB.436,breast,-13.17077893,-14.707658,-9.699425,-14.907829,-19.36127,-15.569435,-8.134655,-15.321351,-19.778856,-12.162834,-12.781092,-10.158905,-9.161486,-14.7055435,-10.194689,-9.907167,-9.238184,-11.594556,-17.771128,-11.285494,-3.6630177,-5.6667166,-14.852252,-13.919956,-13.699182,-19.96101
mitomycin C,Vorinostat,MDA.MB.436,breast,4.016492967,4.0583153,1.6407422,0.4283773,1.7019894,1.862464,2.2307115,3.3547225,4.55819,1.7286682,1.5207816,3.1784673,2.7475243,-0.57661706,-1.1510409,3.5178742,4.0566225,1.7967668,2.8969083,2.2073238,2.8294642,4.870079,2.0212774,1.7646351,0.5676462,2.6572592
MK-2206,915019-65-7,MDA.MB.436,breast,9.010530878,7.3867135,9.261442,9.469696,13.694213,8.545561,8.418196,11.135631,13.284078,9.51335,9.513266,6.8254967,9.160417,13.73766,12.357563,10.972258,7.174655,9.02459,9.8871155,13.102437,11.544254,9.129059,10.058267,13.2174835,10.340118,12.392115
MK-2206,Bortezomib,MDA.MB.436,breast,-7.722733211,1.5594659,-0.22346704,0.7786043,-1.2760977,2.5307121,-2.0928838,-0.21687818,0.15262282,1.1240727,-1.0407634,-1.8838592,0.9280724,1.2148926,0.11140831,-1.6701567,-4.420613,-1.3091139,1.3231306,1.2753974,1.4746264,-0.54700315,-0.61716515,0.38573065,-2.0407798,-1.694251
MK-2206,Erlotinib,MDA.MB.436,breast,5.186495542,2.946405,1.0438769,0.4022846,6.2451167,2.247728,3.6494725,4.549059,6.336942,4.5181775,3.1827078,3.5497582,7.4890523,5.643709,5.300016,8.632095,5.3031125,3.5318909,2.9544425,5.2820106,2.5119328,2.657122,7.689102,6.380689,4.9916806,4.433319
Niraparib,Dinaciclib,MDA.MB.436,breast,-3.914205357,2.5736015,3.6670225,-0.36121783,0.5364048,-3.484022,1.2454605,2.3370957,-1.6490175,0.9754563,1.9048855,2.2900202,-0.5894948,1.6790996,0.5612736,-0.118277654,-4.2223935,-2.8753722,-0.007797571,-1.0020375,4.003956,-0.7982271,3.2791104,4.0391917,0.899616,0.16681235
Niraparib,891494-63-6,MDA.MB.436,breast,7.342831749,6.330256,9.507667,10.566778,10.431843,10.831514,6.607766,7.058883,3.1325417,5.5675187,4.901157,2.964718,10.669815,3.8868358,3.1109834,4.628563,6.66786,7.4679413,4.0332847,11.570601,8.631404,7.708319,5.986867,3.263084,2.8498464,6.3044825
Niraparib,Eloxatin (TN),MDA.MB.436,breast,-3.865074174,-3.0743573,-2.604621,-0.744162,-4.0381994,-2.7924728,-1.4559841,-1.2646149,-0.6907321,-2.6596448,-0.82369447,0.7585093,1.6570187,1.3881837,-1.9490428,-0.074499935,-3.250102,-0.51455647,-0.55397123,1.0342624,-4.8233457,1.2056503,-1.3333462,-1.2390208,-4.998028,-3.4256768
MK-5108,Eloxatin (TN),MDA.MB.436,breast,-7.293347599,-9.425062,-5.2473655,-3.3281083,-9.648943,-3.066392,-4.313046,-1.1676021,-7.1991043,-4.6029615,-3.0939298,-8.479903,-6.9439716,-3.9948604,-6.9776297,-1.9392853,-8.114889,-1.4142457,-2.6677146,-4.787916,-13.451136,-6.775562,-8.624017,-5.955203,-8.207446,-10.505843
Deforolimus,topotecan,MDA.MB.436,breast,4.241784645,0.9299321,3.719771,2.612782,3.6218827,0.89184755,4.543765,3.9272473,1.5255042,0.7121935,2.920478,3.2430353,2.2561402,4.282451,5.7980328,0.40176702,4.744447,3.066756,1.4082515,4.6943808,-0.72059035,0.9511172,1.0721037,2.8769703,7.105028,6.024914
