Drug1,Drug2,Cell_Line,Tissue,Synergy,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
cyclophosphamide,geldanamycin,MDA.MB.436,breast,-25.6571782,-23.264805,-21.484772,-20.363382,-15.04947,-21.266596,-25.415722,-27.369143,-19.557991,-25.543621,-23.403248,-18.177849,-0.33115622,-26.626171,-17.144318,-27.38477,-23.555904,-20.028198,-20.812916,-24.538433,-17.00438,-26.576218,-27.649029,-18.721336,-22.230278,-18.026344
cyclophosphamide,L-778123 free base,MDA.MB.436,breast,-7.983575745,-10.083678,-7.0500417,-4.195243,-9.94327,-8.500202,-14.990531,-5.976689,-7.2210774,-12.589046,-5.654449,-11.217782,-11.56172,-9.278881,-11.877617,-12.696975,-12.035151,-10.3909855,-15.581774,-12.111057,-7.9593396,-18.3837,-5.8015103,-12.681364,-6.6408563,-6.2879753
Dasatinib,Veliparib,MDA.MB.436,breast,5.369559364,9.609009,3.2076793,10.60722,8.826834,12.97882,4.5385256,7.179501,12.174582,8.2960205,12.182386,10.4509,6.517498,10.554665,8.7740755,6.192637,7.9650564,10.54632,8.943034,15.798691,12.837426,12.589536,13.769543,7.9299855,4.754674,10.390409
dexamethasone,Veliparib,MDA.MB.436,breast,-3.60386427,-6.234302,-6.356707,-4.8682146,-14.836043,-9.823341,-11.231697,-10.494075,-14.629224,-14.160812,-7.9587007,-23.458694,-15.652525,-12.666082,-20.338272,-17.182089,-10.116615,-8.102804,-8.339042,-10.3539915,-13.022709,-21.705397,-9.117421,-11.455105,-6.5485287,-6.5101333
dexamethasone,MK-1775,MDA.MB.436,breast,-60.04195257,-19.395443,-29.015142,-21.684582,-32.52216,-29.301495,-22.210938,-20.67723,-26.409864,-21.536911,-32.159576,-21.975494,-31.70438,-36.787056,-30.626593,-28.749874,-29.313274,-22.184156,-18.438467,-29.124573,-28.332851,-19.265024,-31.255957,-27.257118,-22.732252,-22.799412
dexamethasone,Bortezomib,MDA.MB.436,breast,-24.56904272,-14.677511,-20.25877,-17.017523,-13.643822,-18.381163,-16.802767,-14.235141,-9.838404,-16.71467,-17.169844,-15.061216,-8.0836525,-10.132483,-11.48368,-11.065261,-14.683262,-11.197498,-13.578147,-15.532352,-17.614609,-12.963879,-15.20293,-19.998566,-22.363716,-17.991701
dexamethasone,Dasatinib,MDA.MB.436,breast,-9.953220776,2.4313796,-0.49288678,-2.6463068,4.290898,0.38387313,-3.058795,-3.218944,1.5021318,-1.8215111,-4.6241264,-3.6738577,0.63430315,0.7201415,-0.5391842,-1.7073005,-0.6838031,-4.005731,0.27006507,-0.6789768,-6.3140025,-1.7845246,0.5882154,1.9815239,-4.1078324,-0.6397304
dexamethasone,Niraparib,MDA.MB.436,breast,-11.17128664,-7.510874,-11.102736,-3.291358,-7.565557,-5.5840073,-14.494918,-8.528914,-3.2138922,-4.9719124,-4.9718122,-13.962947,-6.898572,-4.6290445,-7.671315,-6.519636,-6.145287,-10.955909,-1.119008,-10.765334,-4.5302935,-11.134323,-5.9407725,-10.803929,-3.0413747,-10.787129
doxorubicin,MK-1775,MDA.MB.436,breast,0.933264604,4.377151,1.161206,3.1330848,6.363222,3.5858274,3.4373064,-1.677901,-0.46791452,2.448314,3.0729072,-0.42628354,3.3000116,1.8796742,-2.2247655,0.87527263,0.90767497,-0.19484551,-1.2826449,1.1753268,3.9496102,5.431594,3.5955346,-2.5888748,4.4104123,4.020464
doxorubicin,Dinaciclib,MDA.MB.436,breast,-2.298302527,-2.472551,-0.8274596,-1.7742052,-1.120057,-1.150052,-1.2416149,-4.651678,-2.1290972,-2.351277,-1.7153729,-4.398378,-3.0336041,-3.089672,-3.5184312,-2.2871418,-4.4700274,-1.3715467,-2.8083906,-3.9201295,-3.4807708,-1.0495436,-2.9172409,-2.9932015,-1.4690851,-0.38188648
doxorubicin,Erlotinib,MDA.MB.436,breast,-0.927727496,-1.7786909,-0.4326772,2.1020224,-3.1866617,-0.9050203,0.7104049,-2.361507,-2.292974,0.38656446,-0.29966968,-1.7748313,2.5092065,-4.5597496,-4.3938518,-0.79450727,1.2480828,-0.21519318,-2.4942622,-0.13528539,-1.1079346,-3.567912,-0.84176904,-1.6349198,-3.8346326,-3.784989
doxorubicin,891494-63-6,MDA.MB.436,breast,5.467023374,5.2873387,5.162191,4.1590233,11.443299,1.959174,3.737271,-3.393085,0.12813549,3.534163,5.016299,-2.0971558,7.1644816,-0.45874313,-0.20901518,-2.083809,1.7836206,2.9216375,-3.9247518,0.39787966,3.271826,6.480611,3.122779,-3.0102313,4.870679,9.059166
doxorubicin,Sunitinib,MDA.MB.436,breast,-5.135877405,-1.502222,-5.030875,1.2230387,0.431334,-4.6005454,-3.7170968,-4.8524046,-4.3818836,0.40216097,-2.0744202,-6.983355,-1.0406308,0.3082237,-0.92007506,-2.4347098,-1.3682575,-1.700901,-7.656303,-1.7234571,-1.8607793,0.79056036,-5.1110535,-3.6027367,-6.7527575,2.357959
Erlotinib,915019-65-7,MDA.MB.436,breast,9.030560094,7.578519,6.8446484,6.8520327,7.5786963,5.9933796,4.575922,6.075371,7.4906793,6.4441805,9.447447,6.2523437,6.5416546,6.11766,11.154954,8.7720585,3.9506497,5.2483068,5.4990373,4.50679,8.449698,8.025152,7.3357186,5.205395,8.197747,7.7908707
Erlotinib,geldanamycin,MDA.MB.436,breast,3.776985072,4.491855,2.785238,-0.9865094,0.51741505,-1.4331831,-0.11936763,0.80889535,1.4600326,-1.6460743,0.6281221,2.69085,2.7073352,0.000828721,-2.474264,1.3887547,-0.4521403,-0.43902472,3.1616335,-0.39884156,0.76038337,3.4053276,1.630274,0.75110424,2.0856347,-0.16090314
etoposide,geldanamycin,MDA.MB.436,breast,3.832284672,3.3054826,1.6302707,-0.21757889,3.4858294,0.8755166,1.8251594,3.7466474,0.04579223,3.0194244,2.3341799,1.2094581,2.0182242,2.6255586,1.4764779,3.2565815,0.50566393,1.5251744,0.4922297,-1.1339904,4.0423484,2.8414018,-0.48701367,1.0072039,1.9213345,-0.112252265
etoposide,Niraparib,MDA.MB.436,breast,4.989294297,1.7645475,4.159595,-5.8520913,-0.91128874,0.85274285,0.36618862,4.491836,1.0700587,-3.0863876,3.5464394,2.7490582,-0.98792267,0.75260794,-0.73513687,2.2993436,-0.34716612,-0.5095404,-0.6272995,5.017503,1.694138,2.9592612,2.480213,2.3508177,-0.85981476,-4.5076265
geldanamycin,915019-65-7,MDA.MB.436,breast,5.115663696,6.305232,5.2746863,4.4115243,5.5027957,8.729069,6.807684,6.246554,6.415358,7.935302,4.429376,4.850814,6.6476254,5.2400813,2.4838867,6.200805,5.3156624,4.9183893,4.6361423,8.907809,8.163789,5.9508023,7.1684318,6.1211815,5.9215183,2.6631515
gemcitabine,915019-65-7,MDA.MB.436,breast,10.83640029,8.618179,8.633608,7.3010173,4.956672,7.4316792,4.625546,7.3782034,6.3071737,9.19385,4.7826705,3.927247,9.385973,4.881023,7.878031,5.5752234,2.6458335,9.036378,5.1810656,5.694453,9.425273,13.485474,9.198455,4.419539,10.040404,7.076247
gemcitabine,Dinaciclib,MDA.MB.436,breast,-3.986912564,5.4106503,3.8405056,3.428227,1.6695813,1.2427627,0.57974696,-0.6641098,0.382463,1.5430783,4.2294507,5.4067726,-2.1907005,-0.27468136,10.030104,1.4342651,1.1333041,0.65632385,1.302776,1.3612732,3.8947434,4.033833,-0.70558506,5.7800703,6.661668,1.3252062
gemcitabine,Lapatinib,MDA.MB.436,breast,-6.849088899,3.002688,5.4354644,3.0348763,-2.2661574,-0.85824585,4.138767,0.4957091,1.2929521,-2.500823,0.85360646,2.6772604,0.11935749,-1.2053614,2.7816157,-1.5079807,-0.827949,2.1766152,3.8961515,2.5324707,-5.524712,1.6830562,-4.2197714,1.1887769,-1.7716964,-5.6639686
gemcitabine,MK-5108,MDA.MB.436,breast,-6.497490373,-8.218928,-2.6395,-2.683235,-7.630238,-2.9889064,-7.7034497,-2.4934342,-3.4537969,-2.0449443,-1.7075316,-4.2018127,-8.2498,4.3346896,3.282116,-5.2464085,0.09447609,-6.302838,-5.636984,-2.1508067,0.71414185,-4.2563276,-4.3521743,-4.773966,-1.529664,-5.979292
gemcitabine,Sunitinib,MDA.MB.436,breast,3.136442768,0.859521,2.8786395,9.236202,7.056754,1.8221511,2.7800572,4.9118013,6.104006,10.486405,8.92246,-0.25710565,10.032887,11.715427,5.1141815,9.760339,5.1697044,8.954195,5.075227,6.3259144,12.14703,6.9795747,2.321723,8.456544,1.4910483,6.033919
L-778123 free base,MK-1775,MDA.MB.436,breast,1.688097752,6.269497,6.913034,3.9498832,7.9568996,8.950542,5.546746,5.7380958,5.155701,7.8728075,6.6588855,3.5480638,5.594471,4.5561976,7.404091,6.004349,4.021909,5.6242275,6.43949,4.2411914,6.624741,3.6340635,5.39604,4.818935,7.0029893,9.277679
L-778123 free base,915019-65-7,MDA.MB.436,breast,12.4221944,6.3093586,9.481879,7.1067443,7.47044,9.341836,7.6525135,12.126111,10.068164,6.6072726,6.475314,3.4741316,6.5059543,3.261044,5.9473214,6.9223356,8.10476,11.4028015,9.678487,7.6198926,8.398293,9.315328,7.4695373,10.597211,7.8187437,7.23903
L-778123 free base,Niraparib,MDA.MB.436,breast,8.711901743,2.3097537,4.9417768,-1.7176949,0.99017644,-1.3368152,1.9506892,2.7969615,6.1276436,8.2320175,6.787575,3.5005765,5.450813,7.095595,6.188764,0.5966015,-1.64251,2.6934931,2.1645944,4.3203487,2.660248,1.4299556,2.8642616,3.0028355,5.383378,3.1725004
L-778123 free base,Deforolimus,MDA.MB.436,breast,15.9161464,10.955392,10.6554575,11.751673,12.07937,12.35867,9.17948,8.927244,9.749514,5.171039,7.772472,7.705052,9.280375,8.685015,4.0415998,5.4868035,9.031666,12.491088,10.789565,11.131373,11.088232,9.04671,5.767227,11.353121,10.292518,6.8716817
L-778123 free base,391210-10-9,MDA.MB.436,breast,6.781814452,9.202807,5.0846567,8.703207,6.1365423,8.397579,6.140478,8.456164,4.4521375,5.680801,5.5677643,-0.58600205,3.4860756,3.1898334,6.087351,0.8569979,3.9875665,8.670821,2.6388958,4.104905,5.34662,9.545491,5.6574073,4.367331,9.509631,7.7769685
L-778123 free base,Sunitinib,MDA.MB.436,breast,5.258149806,7.501335,5.8333683,0.32036382,2.3035517,2.4925,0.29235187,4.680181,2.6246078,2.3069448,4.5449643,-1.0210989,-1.2007618,-3.7400398,6.8565083,3.9464002,1.3995129,0.75095415,4.206033,0.8889373,-1.1044693,1.7214003,1.0592752,1.3648539,3.4440951,1.0684813
L-778123 free base,temozolomide,MDA.MB.436,breast,-6.307597168,-2.476665,-2.4827323,-6.169478,-3.7657042,-4.1575117,-7.5221677,-7.96502,-1.6806314,-7.674593,-2.1973026,-7.332861,3.104959,-1.6027701,-12.903269,-8.030157,-9.538295,-5.721463,0.25191677,-7.4735227,-0.009131242,-7.9476995,2.3915594,-10.233557,-2.7811346,3.9293907
Lapatinib,Niraparib,MDA.MB.436,breast,1.783230458,1.6290952,0.43508136,3.295662,2.6773465,3.374129,2.457659,1.792366,0.4873391,2.2425203,2.7396555,1.3979292,4.7711544,4.1601076,2.2211094,-0.56793666,3.1387744,3.8290744,6.8146596,3.1398594,5.752677,2.77827,2.0524457,0.5855029,7.168291,2.6920695
Lapatinib,Deforolimus,MDA.MB.436,breast,2.34112266,6.2454004,8.429378,9.972365,4.5392313,5.455527,8.02297,5.4711676,6.432697,8.37403,8.711978,7.867835,6.824739,4.015864,4.662331,5.291124,9.312784,8.637566,5.8264165,12.932892,5.3576274,5.4334755,6.5583973,8.81318,6.0517287,3.1972163
Lapatinib,Sorafenib,MDA.MB.436,breast,-8.393586344,-2.1438015,-1.852729,-0.0801072,-1.482599,-2.6006825,-1.671648,-6.972895,-4.600148,-3.937557,-1.3959631,0.62303036,-2.766344,-3.960798,-2.9017105,-6.7948585,-3.6662455,-1.1663295,-3.8814774,-1.5947545,2.7115626,-2.4270618,-4.287258,0.14920488,-4.113866,-8.048801
metformin,Bortezomib,MDA.MB.436,breast,-51.33553732,-43.982994,-39.26589,-39.730415,-40.837715,-42.616116,-50.718792,-28.828087,-25.006002,-28.361877,-35.52624,-32.96904,-34.59775,-30.49334,-32.07245,-35.924168,-37.286896,-28.456472,-42.41498,-40.32758,-36.373734,-45.08358,-38.62503,-25.286758,-42.28612,-38.07166
metformin,Lapatinib,MDA.MB.436,breast,-14.63117109,-31.24916,-30.72389,-37.837986,-23.263731,-27.59528,-18.82626,-31.110146,-32.295856,-24.558453,-26.381155,-34.69863,-19.004541,-29.034414,-17.988998,-27.298561,-29.172781,-27.486423,-31.91244,-18.75072,-26.207727,-27.531132,-28.642748,-20.65777,-30.16073,-22.613554
metformin,temozolomide,MDA.MB.436,breast,-3.461016629,-18.902958,-14.8693905,-18.735933,-11.943316,-26.762781,-13.603694,-18.95598,-9.916973,-15.862202,-15.174821,-28.947071,-28.805265,-10.970822,-16.996368,-23.18644,-10.52401,-24.548786,-19.29881,-18.842009,-12.919774,-14.21249,-16.852552,-26.892105,-17.127352,-19.461672
methotrexate,Erlotinib,MDA.MB.436,breast,1.693649383,-9.509036,-5.772035,-5.7649865,-10.023094,-7.286939,-4.623121,-6.0037003,-6.781201,-6.7305737,-6.9341936,-5.3338776,-5.4940658,-8.612177,-9.058465,-5.067465,-1.1125063,-7.2679987,-5.7513175,-5.869456,-5.5891557,-9.374939,-3.9277556,-5.0565195,-5.626536,-6.9160237
methotrexate,Niraparib,MDA.MB.436,breast,-5.874923019,-4.5838876,-3.9294167,-6.449251,-5.9571996,-4.9684796,-6.201851,-6.671261,-3.1384275,-3.92067,-4.3160706,-4.3476434,-1.9013894,-6.6046004,-1.8865407,-6.5298543,-0.9534388,-3.23338,-7.1305027,-1.6010555,-5.588417,-7.405931,-6.740626,-2.121858,-6.32193,-6.9271
methotrexate,MK-5108,MDA.MB.436,breast,-19.51116022,-10.131643,-9.373761,-9.929486,-9.507853,-11.57654,-11.737195,-7.5778737,-8.1072855,-9.451041,-10.1182575,-9.501039,-8.857841,-9.10218,-6.486106,-11.289586,-11.255911,-9.2778635,-9.528999,-12.711592,-4.9726615,-9.381801,-12.263228,-12.81415,-10.176117,-7.8217344
mitomycin C,915019-65-7,MDA.MB.436,breast,8.752049388,5.802003,4.032328,5.5058646,1.8255372,5.966941,0.9622847,4.9886203,7.381863,6.7427807,3.285808,-0.77596664,-1.7300808,3.6345224,6.1433635,7.3818426,3.8710928,2.166196,2.0564985,5.817725,6.739196,9.794436,2.4623308,2.6258194,6.1896405,5.0389223
mitomycin C,Dasatinib,MDA.MB.436,breast,-5.136965244,-3.3951705,-6.2531953,0.36691624,-6.965918,-4.6800585,-2.7513378,-4.291272,-3.2566283,-4.4241924,-14.5527525,-6.4112053,1.4941399,-7.3557734,-3.413733,-2.4150853,-3.1886353,-2.4155443,-6.9797864,-2.9360526,-3.6699574,-3.3528197,-11.553074,-4.5622153,-4.747559,-4.051725
mitomycin C,Lapatinib,MDA.MB.436,breast,-9.666656548,-11.830991,-3.9500847,-6.6602254,-4.731156,-9.91446,0.2111713,-7.7077956,-9.430516,-6.768915,-11.0526705,-5.7265954,-5.1983914,-9.16495,-1.8874276,-8.46397,-11.687321,-3.812784,-6.426002,1.4272615,0.640554,-9.528966,-8.089099,-6.615316,-3.5564983,-7.074985
mitomycin C,Niraparib,MDA.MB.436,breast,0.441268115,-7.3100023,-2.0507562,-6.5895166,-7.623434,-5.576423,-5.370614,-6.51327,0.45121953,-4.0526495,-1.552862,-0.7138426,-1.3916022,-3.092203,-4.0902123,-2.6516373,-5.864654,-5.3223724,-2.8725595,-5.1950583,-1.141981,-0.5398822,-2.2143636,-2.4388037,-3.8933158,-5.737618
MK-2206,geldanamycin,MDA.MB.436,breast,3.021670261,4.487063,2.4107275,-0.34021658,2.771136,4.0386815,0.4533458,4.961682,3.2651222,4.0724936,1.5690211,3.765312,2.9623873,6.815184,2.2952824,1.7554493,3.9543924,1.8158624,1.621347,2.9986732,4.0854774,2.5496116,3.3948371,1.8054603,3.5924351,1.323527
MK-2206,Sorafenib,MDA.MB.436,breast,-4.201675068,-4.7410626,-0.7670934,-0.44927862,-1.8286104,-0.9753699,-2.6702535,-0.51591796,-3.3787398,-3.3968031,1.3518568,1.6420054,0.60299397,-1.3446853,-2.517106,-2.8106067,-0.35601607,-4.668685,-6.5010424,0.007649135,3.653678,0.7181821,1.2347735,1.1662593,1.165193,-5.6828237
Niraparib,915019-65-7,MDA.MB.436,breast,6.487751325,6.268851,8.052647,5.4433613,1.8554757,6.5186214,3.7317114,8.854221,10.094703,6.4697165,7.482563,6.1578426,7.0760922,5.3779683,5.7236295,3.1292806,4.381635,7.059098,3.6752675,7.855978,8.704679,8.238195,6.9760895,6.2918677,6.05677,4.959201
Niraparib,Bortezomib,MDA.MB.436,breast,0.195800107,-2.2355235,-2.9792368,-2.986434,-2.5241146,-0.41405326,-2.6740985,-2.1746342,-1.2018663,-0.5700821,-0.008567069,0.42829895,0.37393725,-2.5143013,0.91695166,-3.0169566,-1.8780594,-0.95381266,-2.4838367,-3.1868117,-0.7081902,-1.6730266,-2.415853,3.1710584,-1.3473347,0.071390554
Niraparib,Dasatinib,MDA.MB.436,breast,6.249298486,7.4542494,9.374506,7.8962116,7.2201605,9.843324,5.5065446,2.8756022,5.9242706,6.604128,4.321872,1.9516492,6.97844,9.134459,7.9608073,3.5507083,10.739353,6.4936223,2.5482771,8.552942,7.510645,2.0500913,8.837832,4.2157207,7.042171,6.631704
Niraparib,391210-10-9,MDA.MB.436,breast,6.24714615,5.554186,2.8269527,3.0999143,5.581394,2.7339306,2.3214805,6.907654,6.000788,3.6220105,4.742852,-0.40208873,4.8146825,5.685558,6.0755653,0.5036196,2.4271243,5.277748,-1.5415347,2.8844273,3.6065977,3.9062974,6.487732,3.8437166,10.258213,6.173235
MK-5108,Erlotinib,MDA.MB.436,breast,-0.072067548,-0.50984144,-0.2001655,0.7665271,-3.66443,-1.1296436,-1.4841222,-8.842425,-1.8301563,3.123992,-4.4003234,-7.994048,-2.711582,0.95125407,0.3112995,-1.2594315,-1.4074167,-0.44860968,-4.5077844,-4.5797677,0.6025097,-5.671871,1.1325959,-4.7497544,-2.5737765,1.2151843
MK-5108,Niraparib,MDA.MB.436,breast,6.162533564,2.754605,-1.277211,-0.0654984,-0.34089556,3.669413,-0.46957967,2.6902003,0.38227782,3.338345,3.23355,0.5439659,-1.7821686,-0.8550818,2.6624334,-0.19788775,-0.39548084,-2.6028426,1.3206208,-0.6894238,1.1404377,1.7272059,5.8139806,-0.15354995,3.6502285,0.5781504
MK-5108,391210-10-9,MDA.MB.436,breast,2.606217491,3.299431,-4.3008904,0.8944927,-4.550037,1.5987109,-2.4203176,-2.4021897,-3.6073413,6.002852,-6.3292503,-3.1366677,1.2217106,-0.84717137,-3.1995103,-1.2440581,-4.7713933,-3.7509954,-2.578694,0.79502183,-3.0666878,-4.123386,0.05375692,-1.3537811,-1.3264507,-4.136862
Deforolimus,Eloxatin (TN),MDA.MB.436,breast,-0.052966979,3.2576241,5.5639124,3.4444108,-0.93256044,4.426209,1.327013,0.041787483,0.1422929,6.5082335,5.3378487,1.221296,3.5242069,5.82004,3.891375,1.5523951,0.23689833,2.8804286,-0.1189207,3.0313547,2.7615087,-0.8375026,-0.3674287,4.300515,-1.0819608,-0.3260337
Deforolimus,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,-0.944704705,9.369419,5.1768107,2.8433528,3.4004133,4.154841,3.9191785,2.805862,3.342065,2.1185126,4.5339026,4.802968,3.0478632,4.8761983,6.206858,4.7755876,5.5988092,7.720366,5.1522818,3.3099473,5.805492,5.230369,5.0232024,2.9790244,5.040918,6.165543
Deforolimus,Sorafenib,MDA.MB.436,breast,-2.130022125,-1.8385845,1.6902933,4.3026557,4.8761716,1.6633846,4.1973796,1.7375618,-0.46075568,3.7807264,3.4345467,5.0387135,2.0498264,2.9276423,0.9995724,0.35172147,3.739653,1.6370409,-1.0002598,6.6247053,-0.45471215,2.6809926,-0.5043183,7.9962106,2.7022614,2.0081954
Eloxatin (TN),Dinaciclib,MDA.MB.436,breast,-6.30074641,-2.0695422,-2.921666,-3.707883,-6.3467827,-3.3966436,-4.5365825,-6.807686,-3.4959013,-5.91841,-3.5327463,-7.0403533,-2.1622083,-2.3872035,-3.6930528,-6.9641705,-1.8186506,-7.1533346,-5.10153,-4.683258,-4.114839,-5.545353,-3.4896758,-2.125001,-7.5228553,-5.582326
paclitaxel,Dasatinib,MDA.MB.436,breast,1.255534538,-4.1252546,-0.55611396,-3.6418476,-6.155843,-0.548785,-1.6430861,-3.1668618,-4.722467,-2.922336,-4.619822,-4.931036,-3.6935513,-5.27152,-0.99108183,-8.938074,-4.498053,-2.7854805,-1.6480584,-5.687277,0.18101512,-3.5196795,-5.4612527,-3.2920213,-1.5923958,-4.085579
