Drug1,Drug2,Cell_Line,Tissue,Synergy,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
Bortezomib,Dinaciclib,MDA.MB.436,breast,-10.07765815,-5.7575784,-5.1725245,-6.4676704,-7.187209,-5.89536,-6.6693597,-3.2202766,-4.5730996,-4.5989046,-5.4648685,-6.9037404,-5.4940596,-7.051322,-7.071631,-4.061144,-5.0887113,-3.2543678,-2.2921875,-3.7166595,-5.374989,-5.0114446,-6.5212345,-4.5380917,-4.853151,-5.1421075
Bortezomib,Deforolimus,MDA.MB.436,breast,-0.588144256,0.32024047,-0.30967936,-1.2502279,-1.0558373,-0.8444176,-0.927694,-1.8747207,1.4779513,-1.3215822,-0.79143375,-1.3674388,-1.2335377,-1.1824731,-0.9256192,-1.2199651,-0.011974603,2.6426616,-1.3937663,-0.42192432,0.3143467,-2.6266136,-2.4980752,-1.98883,-0.44803295,0.05242873
Carboplatinum,Bortezomib,MDA.MB.436,breast,-1.333879527,-5.956339,-5.000941,-4.666476,-4.4637494,-9.336667,-11.208681,-1.624109,-5.650853,-2.5830967,-7.5353055,-8.525189,-1.3109368,-2.4996011,-9.858249,-3.7206123,-5.3406596,-1.3564125,-8.263394,-1.678011,-1.5808908,-5.376654,-1.2993295,-4.559377,-0.20923902,-7.1692104
Carboplatinum,Dinaciclib,MDA.MB.436,breast,-2.976529007,-6.6606774,-9.050182,-4.102926,-2.4456847,-10.176605,-9.085816,-2.2545936,-6.0526257,-5.4700866,-2.8894823,-0.801314,-0.4114473,-3.396241,-5.473401,-3.7647789,-2.318371,-2.3362896,-5.041705,-4.9751506,-3.018096,-3.025812,1.1991065,-6.7128234,-0.5414625,-0.5713349
Carboplatinum,geldanamycin,MDA.MB.436,breast,1.154925842,-1.0514888,-9.293011,-5.863623,-0.8142611,-5.2186003,-6.2040544,2.4283235,-1.3599542,-3.799591,-1.2573758,2.519773,0.21130954,-3.2973363,-4.7180576,0.5518219,1.7693061,-4.2170205,-6.6538215,4.0951643,0.6131433,-0.6813917,2.2518687,-1.7386194,2.371523,-2.9316149
Carboplatinum,Sunitinib,MDA.MB.436,breast,0.607661931,1.4407787,-6.2682896,-9.802093,-6.777626,-5.958168,-9.427411,-6.4756384,-11.141147,-8.0002985,-10.260136,-13.425821,-2.234717,-5.331733,-9.755904,-5.2266045,-2.5156918,-8.646685,-8.59266,-10.966016,-4.217397,-0.054276474,-6.4311447,-11.553062,-9.059987,3.0906763
Carboplatinum,temozolomide,MDA.MB.436,breast,-10.30803552,-10.339276,-3.6954308,-9.926118,0.008903209,-5.3021636,-16.271004,-12.11801,-1.1580447,-6.4045296,-8.45825,-7.7702603,-10.306114,-10.987002,-15.5830345,-9.946847,-11.668432,-5.4026628,-11.623896,-17.34364,-3.2889755,-0.99520236,-2.80558,-6.9814396,-3.2762752,3.7534323
cyclophosphamide,Bortezomib,MDA.MB.436,breast,-49.86747991,-30.306225,-28.93063,-26.06758,-26.25354,-30.187283,-27.334265,-19.980644,-28.189999,-30.747046,-33.45422,-30.671497,-33.44003,-26.522413,-24.831482,-25.92269,-34.254562,-31.90108,-37.766815,-38.241356,-29.805845,-23.74956,-31.676304,-37.906487,-39.325962,-29.220825
cyclophosphamide,891494-63-6,MDA.MB.436,breast,-24.36572846,-9.681046,-14.574545,-14.558237,-17.464203,-11.109911,-15.282472,-17.182371,-14.085196,-26.486374,-21.139452,-8.732029,-15.878244,-15.736708,-21.491789,-13.94862,-21.181988,-16.121426,-15.001522,-18.37913,-11.645215,-11.019847,-15.471963,-19.17513,-17.036095,-14.087534
cyclophosphamide,391210-10-9,MDA.MB.436,breast,-7.815382058,-9.90133,-13.356743,-6.551343,-8.69786,-8.740328,-5.8496747,-3.3076432,-17.52662,-25.078594,-16.869843,-7.906529,-14.238591,-15.551157,-14.043667,-11.268163,-12.933749,-9.090069,-17.391272,-11.984701,-4.7594104,-9.872619,-14.263142,-15.512874,-7.0843053,-12.72117
cyclophosphamide,Sorafenib,MDA.MB.436,breast,-17.03847147,-16.77774,-17.62504,-11.588731,-15.399857,-13.752899,-13.546403,-10.144436,-15.446176,-23.53035,-17.046972,-13.871665,-13.501914,-17.183786,-23.667494,-22.78719,-16.799683,-15.18051,-22.562174,-12.314839,-14.325505,-22.009594,-17.729277,-18.007435,-12.407862,-12.076778
cyclophosphamide,temozolomide,MDA.MB.436,breast,-1.340741108,-8.554592,0.5620275,-2.6944032,-3.6877983,-2.5163085,-2.918473,2.3268342,-2.5865066,-2.1526644,-9.397794,-3.0415928,-0.40754166,-7.7072973,-5.2057886,-5.1975384,-4.169173,-0.86717224,1.4723758,-4.4331527,-5.9415574,-2.4743059,-2.7768445,-2.1732974,-4.692421,-4.293336
Dasatinib,891494-63-6,MDA.MB.436,breast,1.85179667,5.7392664,6.619566,3.5642574,9.003953,5.6220856,7.191476,-0.54310894,6.899263,4.5356073,4.8566318,-0.151331,1.3618927,6.531765,8.071479,4.3548794,7.3407507,4.2736115,2.6474442,5.760234,6.3671174,3.17838,5.5430155,4.1682453,5.4331574,8.785969
dexamethasone,Dinaciclib,MDA.MB.436,breast,-19.15344333,-35.982506,-48.55925,-36.8257,-35.030834,-36.04245,-34.780224,-27.980022,-23.939621,-25.873981,-38.938457,-36.535164,-36.04096,-27.237345,-30.82647,-31.480968,-42.576458,-43.511402,-41.81115,-43.348835,-33.773983,-23.922102,-33.761185,-33.959698,-32.506092,-39.127987
dexamethasone,geldanamycin,MDA.MB.436,breast,-26.2706782,-21.255156,-23.993362,-22.037338,-15.924393,-18.071362,-30.89475,-25.173567,-14.001781,-18.92606,-24.880716,-30.54847,-13.118787,-16.04178,-19.548302,-25.836424,-31.403852,-24.305891,-13.3616085,-24.187616,-22.755478,-14.182898,-22.384747,-21.113894,-20.010263,-27.610935
dexamethasone,Deforolimus,MDA.MB.436,breast,-11.75587401,-9.040277,-6.2310324,-8.228647,-1.514852,-3.56903,-1.2742617,-11.44284,2.5764525,-0.46857205,-0.43144527,-4.7090073,0.8480489,2.4144294,-5.3688116,0.46730962,-3.4619577,-7.24874,-9.035875,-3.4167404,-5.7270374,-7.336409,-6.408897,-3.7843535,-9.194819,-3.1448169
doxorubicin,Bortezomib,MDA.MB.436,breast,-4.249092565,-1.9672909,-1.1259668,-3.0822902,-3.6548274,-2.5207844,-2.759112,-2.3555439,-0.29171667,-1.2004572,-5.346568,-5.627398,-0.597372,-3.937403,-2.9412873,-3.145938,-4.2295165,-2.0218155,-1.4484348,-2.1254196,-3.1357036,-4.458769,-2.5006487,-1.1209873,-2.0166194,-1.101405
doxorubicin,geldanamycin,MDA.MB.436,breast,-4.297239086,-0.34058174,0.10431089,0.06428623,-0.1707317,1.0909745,-0.6244604,-1.6676494,0.01748653,1.6975193,-2.956454,-2.530941,0.40764183,-1.9555199,0.07954777,-3.5722291,-0.9724798,-1.3184574,-0.6503866,0.97464484,-2.015621,-1.331687,-1.8037825,2.0011697,-1.6608367,1.5289185
doxorubicin,391210-10-9,MDA.MB.436,breast,-8.395781113,1.4933871,-2.434035,-1.3029519,-2.8078477,-1.3606608,0.4917909,-2.0613732,-0.70806986,-2.8989832,-1.1838948,-3.1521368,0.5491149,-1.4157866,-3.27368,-4.5449424,-1.2215309,-1.7737427,-3.853821,-1.7050661,-7.811203,3.2619154,-3.0373147,-0.8142851,-1.704839,1.9502034
Erlotinib,Veliparib,MDA.MB.436,breast,1.516747774,2.966654,2.385649,2.0630455,4.2945824,5.8254414,5.1747584,2.2084186,5.6932135,5.3799877,3.2999475,2.2455223,1.7466362,1.1384258,0.03422115,2.7649777,3.2726965,4.451898,3.2046936,0.4177257,3.408566,3.8350227,3.1060333,3.2835405,1.6291854,2.7345855
Erlotinib,Bortezomib,MDA.MB.436,breast,-5.357906513,1.2571759,-3.5776503,-0.85363936,2.2266886,-0.6215403,-0.54986644,1.0169023,-1.5897406,-2.3483207,-1.1834514,-4.733796,-1.4341483,0.8525699,-0.44730234,-1.1539905,-1.0172172,-3.2177017,-0.12848714,0.3838885,0.6770471,-5.919751,-1.0700594,0.9099236,1.0876884,-2.3319933
Erlotinib,Deforolimus,MDA.MB.436,breast,7.505341542,7.6262546,9.234681,4.7446537,10.110707,7.785431,7.0899916,4.1807904,7.381825,9.449591,6.5424695,7.5795712,10.804049,10.750159,6.710336,9.350214,6.530959,4.8730636,9.952829,12.196956,4.2956653,3.2411206,7.06327,7.0511417,8.060886,9.109006
Erlotinib,891494-63-6,MDA.MB.436,breast,-1.81144537,4.4251146,1.5242575,1.9857339,4.2847886,8.834664,0.8228211,3.894768,2.619048,7.3391848,5.7636223,0.9595221,4.1881332,2.3405368,3.089174,7.3075647,-1.5641341,-0.6853935,2.4342918,3.112538,2.2899532,0.5343189,2.0730126,2.8752084,5.848613,8.168376
Erlotinib,391210-10-9,MDA.MB.436,breast,2.296967155,7.7587256,2.7520366,3.2764652,5.061025,5.2427044,4.583627,5.070995,5.063394,4.4081535,7.7875648,1.7390988,5.4700184,5.7431335,9.110968,4.1510205,4.7679477,0.9379104,3.5543063,7.1635337,-0.8951694,2.2493474,5.9915867,4.060307,4.0135283,4.9049377
Erlotinib,Sorafenib,MDA.MB.436,breast,-4.144685583,-10.203335,-7.52524,-8.06923,-10.971653,-10.444732,-3.6735208,-7.899752,-9.034161,-9.3657255,-6.797068,-1.2424107,-6.6154943,-8.0173235,-3.0510092,-8.719194,-9.49534,0.02621936,-8.826702,-8.201178,-1.8994985,-5.695379,-9.852875,-3.8617797,-7.848929,-3.1938882
etoposide,Bortezomib,MDA.MB.436,breast,-1.805218828,-0.58732694,-1.23774,-3.3671227,0.9658547,-3.0775373,-0.30998722,-2.747284,0.6298875,-1.6576642,-0.2603134,-1.1282927,-2.8809612,-0.41603863,-0.36977452,-1.7618078,-2.9149258,-0.5033823,0.79682314,-1.0199566,-1.5858836,0.0254296,-3.297153,2.7174501,0.32717142,-1.171905
etoposide,Lapatinib,MDA.MB.436,breast,2.941126476,3.08138,-0.64300895,-3.4616497,-1.0990046,1.2732874,0.6645445,1.5486083,2.8543892,2.7722168,1.6496962,-1.9738039,0.6550587,3.01738,-0.60860354,2.040947,-2.0249667,1.5730071,3.1493287,-4.3182683,-1.3524386,2.066452,-0.29203197,-0.57236767,0.5940994,-0.76620644
etoposide,391210-10-9,MDA.MB.436,breast,3.682761551,4.06029,-0.38861948,1.2420315,1.5016912,-1.6460419,3.6467023,4.2611566,2.0295005,2.180822,3.2407305,4.126183,-0.61205465,1.039232,-1.8069285,0.6430818,1.2801821,0.61865395,1.957361,2.0230246,0.39509892,2.1597126,-0.08968502,2.9785264,4.4519687,0.9262497
geldanamycin,Dinaciclib,MDA.MB.436,breast,1.116879915,-3.1060402,-1.1743796,-3.624173,-2.4233537,-0.76657313,-4.0107574,-2.374075,-0.28096482,-3.5137775,-2.2977815,-3.8837752,-3.8392642,-3.7961571,-3.894501,-1.7413466,-1.5704055,-2.9880693,-1.112531,-0.8841953,-2.9849606,-2.9549696,-3.76963,0.23124118,-2.982129,-0.87977403
geldanamycin,891494-63-6,MDA.MB.436,breast,1.836088213,3.2563982,1.052685,3.9411483,3.9393163,4.673824,-1.6981518,0.8153135,1.9247634,1.9303695,6.0449715,2.8656545,2.267758,3.0384405,0.15990663,5.430248,5.5860853,-2.1315703,0.2326071,9.372977,3.3065453,-1.9371945,5.95859,4.8985615,5.4365735,2.6459157
geldanamycin,Eloxatin (TN),MDA.MB.436,breast,-0.661656475,-6.0326443,-6.6378593,-2.7645442,-1.8980035,-2.352503,-1.3157564,-3.9619932,-1.4290884,-2.8897812,0.11530638,-3.8407671,-2.7474644,-3.6151822,-1.5408795,-0.326434,-4.9630704,-3.5601702,-0.61678624,-1.2353351,-1.8093671,-0.689077,0.8410471,-0.9250292,-5.1005297,-1.2801876
gemcitabine,Bortezomib,MDA.MB.436,breast,-1.361652733,0.10906538,-2.8341837,-0.8817498,-2.76875,-1.8942457,-0.25091013,0.48200232,0.28892383,2.3472512,-2.8715363,-4.5134006,-4.884666,-0.39529884,-0.40885115,-4.567773,-1.4790506,-1.7240279,0.36528686,-0.17042601,-0.020445623,2.7948449,-3.9964268,-2.1407778,-2.1304283,-0.77018994
gemcitabine,geldanamycin,MDA.MB.436,breast,-0.280679158,0.2941318,0.68414617,2.6746178,-0.19838008,1.7882243,3.1459897,0.2800062,2.797015,4.5632367,2.5355058,2.3133345,-0.7364159,1.7996159,-2.375751,2.446369,2.4268746,0.801738,2.7672322,4.1905265,3.8264222,0.81405854,1.4459405,1.4498671,9.212654,1.6126122
gemcitabine,391210-10-9,MDA.MB.436,breast,-3.147963409,4.4198103,-1.0695591,2.577667,0.11976597,-0.71125215,5.420908,-0.08980932,5.2742906,6.4625955,2.5299997,2.2191627,3.9276574,3.3321707,-1.95021,-1.0215983,4.894996,4.151306,6.810165,4.4559197,-0.1401622,9.667669,1.2543569,0.9454154,12.202363,2.7884564
L-778123 free base,Bortezomib,MDA.MB.436,breast,-6.291966491,-2.7008984,-6.792782,-1.573728,2.8184223,2.5980399,0.8681743,2.5886714,1.5167079,-2.3440974,1.4344628,-5.9377055,-0.09599987,-1.5871994,-3.4117875,1.2756159,-4.990537,-1.3201365,-1.8579594,-2.952792,-2.5180876,-4.801419,0.12680466,2.643324,-0.43341509,-1.7455246
L-778123 free base,MK-5108,MDA.MB.436,breast,4.787046452,1.3664536,0.66817087,3.0019584,1.8572576,0.38335326,1.9958167,0.9736323,1.7746121,5.066511,6.342362,-3.8193827,1.6913267,7.731728,0.8503091,5.2587123,-0.31414324,5.792778,4.428228,5.129397,3.3261313,2.0956728,3.0945618,-0.076064765,-0.3889443,7.248917
L-778123 free base,Eloxatin (TN),MDA.MB.436,breast,-3.271608379,-4.6592717,-5.227018,-1.5721081,-6.184994,-5.454968,0.29810792,-1.3642082,-5.3649306,-4.842361,-0.83824927,-7.831163,-5.2591405,-6.543547,-1.4009893,0.3146139,-4.744782,-4.7408204,0.11639293,-2.1682122,-5.353963,-2.8182151,-6.4906106,4.9764447,-2.720156,-5.362
Lapatinib,915019-65-7,MDA.MB.436,breast,3.32191114,4.480627,4.218138,2.3868656,2.730422,0.49295092,5.4010816,1.9076096,0.97821224,4.1816177,6.2045507,2.4251268,3.0254755,1.9741471,4.809228,4.123505,4.322675,2.1913173,2.3434982,1.9136505,4.169589,6.3096657,3.7771,3.9675784,4.120924,3.6438828
Lapatinib,Bortezomib,MDA.MB.436,breast,-5.271975251,-5.563545,-6.697125,-7.219173,-8.78856,-7.80026,-4.4065495,-7.7507844,-5.8328214,-9.785479,-1.9451596,-9.146142,-7.6214,-7.495432,-8.398879,-6.802342,-3.669266,-5.9462395,-5.556151,-10.933329,-4.1832695,-12.077916,-4.8949876,-3.157005,-8.119196,-6.0529356
Lapatinib,Eloxatin (TN),MDA.MB.436,breast,-11.06767119,-7.0437737,-8.4704895,-8.355065,-8.393916,-6.5960226,-4.1423397,-2.767575,-9.718181,-9.289502,-8.021266,-10.206932,-9.185751,-4.4117,-8.651464,-6.7508187,-9.3727455,-7.7952075,-9.141277,-5.1409507,-9.256689,-9.499756,-9.2872,-6.6242547,-4.3520575,-7.3358502
Lapatinib,391210-10-9,MDA.MB.436,breast,5.727728227,0.82548994,-3.0020723,-0.20000045,0.6262304,0.3734907,4.084741,-2.2451901,0.8186536,1.067257,3.9100924,-4.6118126,2.4409983,0.14481401,-2.3333244,2.4857054,0.3478098,-2.3539894,0.384416,0.89746535,-1.495837,-0.82264805,-0.5788512,1.3870188,0.6149882,3.9359572
metformin,Dasatinib,MDA.MB.436,breast,1.980604813,-23.240763,-19.128246,-14.361315,-17.340101,-8.242721,-16.125221,-22.14451,-16.997353,-4.5874968,-33.643288,-18.08841,-13.026644,-12.738199,-12.434923,-10.743749,-16.504616,-10.941611,-7.3241444,-20.339445,-16.235075,-26.792967,-23.054869,-9.313075,-12.435885,-6.5314436
metformin,Erlotinib,MDA.MB.436,breast,-42.24836358,-41.60377,-42.38754,-26.098475,-39.179066,-24.728119,-31.71772,-27.606058,-33.840675,-25.152948,-35.01745,-37.196613,-34.786297,-34.46781,-33.50325,-45.51593,-32.10248,-24.288084,-30.41343,-39.580276,-26.053452,-24.429031,-36.66867,-40.219128,-33.57519,-45.34094
metformin,Niraparib,MDA.MB.436,breast,-17.94942886,-11.070261,-14.255485,-13.501951,-11.652212,-4.378877,-15.734343,-9.459363,-12.096799,-7.914089,-15.624457,-14.659602,-9.977275,-12.885819,-10.981413,-13.940286,-8.074847,-18.165213,-14.7704115,-12.6745825,-12.003263,-16.489208,-20.708883,-9.972029,-7.731965,-15.840517
metformin,Deforolimus,MDA.MB.436,breast,-10.39563995,-15.0402775,-3.820848,-7.880326,-10.495006,-8.189705,-10.852852,-5.713612,-13.69555,-1.9961461,-5.8248196,-10.984832,-10.499027,-6.1829195,-12.921231,-9.325942,-13.508398,-19.675852,-6.8866625,2.1365755,-8.975345,-17.468288,-3.1397746,-11.195266,-21.012804,-9.929558
metformin,Sunitinib,MDA.MB.436,breast,-58.44911383,-27.27182,-36.0386,-32.663685,-35.192867,-29.285439,-26.989214,-23.845358,-30.852785,-37.7571,-41.65765,-43.066574,-37.7788,-39.315098,-33.071022,-39.51407,-33.415573,-38.505875,-31.834309,-30.775454,-28.86156,-28.819336,-35.261284,-44.33614,-35.277756,-28.337011
methotrexate,Dinaciclib,MDA.MB.436,breast,-0.197903284,-7.923458,-8.595471,-8.55228,-5.299765,-7.0063496,-6.6763783,-8.600845,-10.697033,-6.1814766,-8.421163,-8.872206,-8.752567,-8.987899,-10.5289,-9.339755,-10.045779,-7.516765,-5.0866385,-9.036848,-7.240603,-8.683914,-9.066467,-7.8590093,-10.53268,-11.53548
methotrexate,Deforolimus,MDA.MB.436,breast,-7.339877452,-3.8736646,-4.075915,-3.9463959,-5.1673036,-5.639491,-1.8207397,-6.055387,-3.6118507,1.3784968,-3.9139304,-3.9841726,-2.705006,-2.943596,-0.4466926,-1.0339689,3.2752697,-4.497183,-4.230944,-4.376996,-3.4426236,-5.9338164,-3.3344965,-1.6219766,-1.1042185,-1.00924
mitomycin C,MK-2206,MDA.MB.436,breast,3.410728118,4.5434537,2.2117739,6.6753855,1.6601323,4.542378,1.0011822,7.834224,0.40417916,4.019958,8.081167,-0.19360565,-2.5286057,-4.38413,1.9682951,4.03723,2.3059337,2.8312094,8.321756,4.8905883,3.1909897,3.9299312,1.1010371,3.7012355,4.1472874,2.6711967
mitomycin C,MK-5108,MDA.MB.436,breast,-11.67160925,-8.335619,-8.991174,-8.982126,-13.251303,-4.6693807,-9.75644,-5.793989,-10.266802,-9.018613,-1.2579933,-13.709286,-9.330986,-6.149982,-6.854954,-6.373525,-9.332995,-5.547701,-8.524653,-20.0685,-13.123319,-8.551757,-6.9806557,-5.7149563,-8.951482,-10.798633
mitomycin C,Sunitinib,MDA.MB.436,breast,-0.132455969,-3.6358056,-3.9573798,-8.774566,-7.6533594,-6.8653502,-7.146241,4.133996,-9.886922,-3.6710706,-11.545503,-26.227097,-7.271205,-10.092619,-11.842242,1.0230361,-1.9852213,-5.894786,-8.52338,-6.3170652,-8.424212,-4.2594733,-10.0002,-8.016094,-9.108441,-4.269843
MK-2206,Dasatinib,MDA.MB.436,breast,11.04695159,6.559406,7.9807277,7.628334,5.628929,1.4176012,7.6314864,13.29637,8.068784,8.098017,7.795131,2.9974918,2.9846613,6.944764,9.146085,8.295817,7.212669,7.564196,3.5586739,6.5071106,7.1230445,9.523453,9.95871,4.8340793,7.533617,4.5447593
MK-2206,Eloxatin (TN),MDA.MB.436,breast,-7.090475129,-0.34752807,-4.742908,2.692085,-2.6334877,0.6891125,-1.0629939,0.3940776,-2.170452,1.065399,1.966172,-4.4861937,-8.690347,-3.9507644,-0.12135657,1.146736,-4.820756,-2.513701,0.45902324,-1.8580483,1.3797468,-1.444322,-5.2361293,-0.40141457,-1.8653527,-0.7410304
MK-2206,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,5.940307203,1.6675926,1.6158557,1.6459794,4.0240264,3.6493266,5.279672,3.9673111,2.4448724,4.0786524,2.4592469,3.22542,4.4222927,4.96213,2.9706151,2.3447077,5.2474647,4.45264,3.3817902,8.802316,3.889663,3.950682,4.1601534,2.3929145,2.9481342,3.2330012
MK-2206,topotecan,MDA.MB.436,breast,-0.192499297,-0.6411152,-0.028766684,1.4118505,0.6081992,3.7700267,4.5612316,4.131774,-0.21898496,1.7668282,1.1343987,1.4665943,4.789287,3.2247295,3.1287987,4.8220963,6.120766,4.3935747,2.403424,6.638475,-0.29914975,2.7966013,1.2674556,3.5006378,3.2504208,3.4027455
Niraparib,Veliparib,MDA.MB.436,breast,-3.362409656,4.5395575,2.2183561,4.5690517,5.400795,4.4622307,-1.5596883,5.5166345,2.7389283,3.323952,1.55658,7.0435023,7.641204,5.9518476,4.650189,4.1285825,4.001834,4.292469,6.5993075,2.6142898,6.957068,4.5688095,3.701805,8.415082,2.2204916,4.7788525
Niraparib,MK-2206,MDA.MB.436,breast,5.669357923,5.629027,5.4707675,10.654475,4.7999463,5.8985696,7.703554,2.8959687,3.378063,4.3622694,4.86613,4.4617176,4.2250977,6.75852,2.8350923,5.3002944,3.6103265,3.0332327,6.902372,4.6814756,5.299235,4.817744,7.532085,2.5180273,5.986444,2.9640505
MK-5108,Veliparib,MDA.MB.436,breast,5.848900092,-7.001074,-1.6832607,2.0094533,2.5067074,1.0943713,4.4276423,-1.7066789,2.7852764,-5.847216,4.6997623,-1.2337495,0.44374028,-0.56746554,2.0523236,1.8033665,1.8462431,-11.725379,-2.6309505,3.049119,1.273254,3.4578724,0.33622018,2.3556318,3.9242344,-4.7937856
MK-5108,Bortezomib,MDA.MB.436,breast,-17.25140092,-15.251871,-12.559258,-16.067905,-13.660233,-18.642832,-15.729526,-19.36319,-7.6528826,-10.880551,-13.514099,-14.270887,-11.42167,-8.904267,-12.276145,-13.625062,-11.746335,-15.052975,-14.209275,-11.852593,-17.816765,-11.461057,-11.765077,-15.111506,-13.807733,-8.693952
MK-5108,891494-63-6,MDA.MB.436,breast,-5.641887856,0.37925628,1.4638922,1.7264123,1.0833801,5.3256183,0.57994944,0.40299577,-2.7189903,-2.2161572,3.1898637,-6.234211,0.57564217,1.5821189,-3.112999,-0.94877434,3.1619966,1.1733543,-0.6170082,4.8142257,-1.9895409,0.3557535,0.7307686,-4.6921597,-3.5967667,-0.0956301
Deforolimus,915019-65-7,MDA.MB.436,breast,10.49880842,10.512366,12.399867,10.631348,12.52805,13.134328,10.87063,10.7740345,9.110264,9.848326,10.778907,13.035227,10.811132,10.924415,10.049861,11.640303,10.481326,11.575316,12.428533,11.965743,10.584858,8.413247,12.845107,14.263345,11.3021755,11.450102
Eloxatin (TN),Sorafenib,MDA.MB.436,breast,-14.39800505,-17.31684,-18.870441,-14.341198,-16.935202,-19.040993,-15.350323,-18.518667,-16.732977,-19.459932,-15.881376,-14.08695,-15.683011,-18.855867,-13.238033,-13.098756,-18.432865,-13.311155,-15.112843,-17.406216,-8.259761,-9.664224,-18.917137,-7.9136,-18.442936,-11.398419
paclitaxel,MK-1775,MDA.MB.436,breast,1.684560402,3.7585838,5.0505886,4.4678845,1.3098378,3.0215976,0.91069657,5.1736503,2.9879413,4.6103015,3.8516474,0.85735196,0.2199082,1.9960954,4.2534904,4.4370637,3.0188096,-1.6926492,3.4036684,4.242885,6.2817116,-0.1490175,1.2938262,2.2399788,2.060068,3.4513254
paclitaxel,915019-65-7,MDA.MB.436,breast,1.919570807,7.0973077,10.494161,6.943472,4.646065,6.7526364,8.392052,5.991427,5.9669504,4.58968,7.8495383,4.7218556,5.9730525,6.312018,6.140961,5.9752946,4.362465,2.229207,7.9883857,3.789075,4.154225,2.9644291,5.977027,7.311021,3.4824362,3.4660757
