Drug1,Drug2,Cell_Line,Tissue,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,BIRRA,RRA
Cisplatin,Camptothecin,HCC38,breast,10083,7665,8896,8227,8896,11297,17200,9527,10083,9968,11554
Cisplatin,Camptothecin,HCC70,breast,7211,11451,12175,11687,12175,9458,12544,7057,7211,6621,7882
Cisplatin,Camptothecin,Hs.578.T,breast,894,18238,18287,18238,18287,6686,845,650,894,701,690
Cisplatin,Camptothecin,JIMT.1,breast,3961,15038,15502,15079,15502,7720,5084,4200,3961,3855,3948
Cisplatin,Camptothecin,MCF7,breast,12394,4115,5522,4712,5522,12806,18159,12273,12394,12480,18933
Cisplatin,Camptothecin,MDA.MB.157,breast,7095,11402,12281,11668,12281,9790,12141,7180,7095,7328,8014
Cisplatin,Camptothecin,MDA.MB.231,breast,4425,15258,15707,15259,15707,8232,4866,3429,4425,3860,5319
Cisplatin,Camptothecin,MDA.MB.361,breast,17073,368,486,445,486,16827,18876,16864,17073,17006,18931
Cisplatin,Camptothecin,MDA.MB.415,breast,11737,5273,6633,5842,6633,13250,17883,10393,11737,10979,18929
Cisplatin,Camptothecin,MDA.MB.436,breast,9145,8211,9393,8859,9393,11010,16655,8260,9145,9207,18927
Cisplatin,Camptothecin,MDA.MB.453,breast,4364,14867,15370,14945,15370,8333,5414,3993,4364,4296,4893
Cisplatin,Camptothecin,MDA.MB.468,breast,3991,15733,16088,15689,16088,7806,4228,3070,3991,3342,4498
Cisplatin,Camptothecin,MFM.223,breast,15372,1085,1986,1648,1986,15439,18584,15283,15372,15496,18925
Cisplatin,Camptothecin,OCUB.M,breast,5746,13390,14078,13458,14078,8566,7633,5194,5746,5265,5499
Cisplatin,Camptothecin,T47D,breast,12880,4533,6214,5028,6214,14128,17999,13771,12880,12124,18923
Cisplatin,Camptothecin,UACC.893,breast,7098,10654,11369,11008,11369,9236,13916,7211,7098,7466,7074
Cisplatin,5-Fluorouracil,AU565,breast,4998,13891,14304,14013,14304,8293,7348,4119,4998,4498,6090
Cisplatin,Crizotinib,AU565,breast,8465,9588,10652,10013,10652,10520,15220,8280,8465,7940,10704
Cisplatin,Crizotinib,BT.549,breast,13287,3090,4567,3589,4567,13441,18357,13119,13287,13272,18921
Cisplatin,Crizotinib,CAL.120,breast,14775,1776,2912,2280,2912,14989,18476,14569,14775,13896,18919
Cisplatin,Crizotinib,CAL.51,breast,5609,12234,12757,12541,12757,8226,10972,5279,5609,5558,3884
Cisplatin,Crizotinib,CAMA.1,breast,16520,496,961,759,961,16690,18795,16621,16520,16283,18917
Cisplatin,Crizotinib,COLO.824,breast,17095,382,726,478,726,17134,18843,17392,17095,16840,18915
Cisplatin,Crizotinib,DU.4475,breast,4333,13534,13860,13759,13860,7696,7995,4243,4333,4548,2691
Cisplatin,Crizotinib,EFM.19,breast,18438,166,132,166,132,18425,18942,18307,18438,18609,18913
Cisplatin,Crizotinib,EVSA.T,breast,6451,11522,12158,11843,12158,8902,12329,5383,6451,7014,6734
Cisplatin,Crizotinib,HCC1143,breast,17484,319,410,336,410,17347,18892,17135,17484,17241,18911
Cisplatin,Crizotinib,HCC1187,breast,11600,4817,6426,5433,6426,12292,17945,11182,11600,11416,11902
Cisplatin,Crizotinib,HCC1395,breast,18889,17,6,21,6,18836,18948,18837,18889,18770,18909
Cisplatin,Crizotinib,HCC1419,breast,18359,179,162,179,162,18292,18938,18364,18359,18368,18907
Cisplatin,Crizotinib,HCC1428,breast,16359,986,2155,1387,2155,16657,18561,16434,16359,16320,18905
Cisplatin,Crizotinib,HCC1806,breast,9073,9107,10223,9505,10223,11243,15732,8468,9073,8673,11581
Cisplatin,Crizotinib,HCC1937,breast,13206,3263,4659,3826,4659,13445,18342,12706,13206,13169,18903
Cisplatin,Crizotinib,HCC1954,breast,17774,306,384,306,384,17850,18897,17638,17774,17643,18901
Cisplatin,Crizotinib,HCC38,breast,15062,1290,2213,1886,2213,15172,18537,14948,15062,14957,18899
Cisplatin,Crizotinib,HCC70,breast,14855,2575,4266,2958,4266,15362,18377,14328,14855,15122,18897
Cisplatin,Crizotinib,JIMT.1,breast,15016,1763,3098,2241,3098,15350,18450,15127,15016,14866,18895
Cisplatin,Crizotinib,MCF7,breast,12188,4518,5948,5092,5948,13330,18046,12152,12188,12151,18893
Cisplatin,Crizotinib,MDA.MB.157,breast,11265,5690,7457,6323,7457,12307,17652,10740,11265,11141,18891
Cisplatin,Crizotinib,MDA.MB.231,breast,10116,7090,8632,7831,8632,11369,17230,10278,10116,9866,10550
Cisplatin,Crizotinib,MDA.MB.361,breast,17977,230,218,234,218,17740,18924,17821,17977,18136,18889
Cisplatin,Crizotinib,MDA.MB.415,breast,17985,237,247,239,247,17867,18919,17578,17985,18137,18887
Cisplatin,Crizotinib,MDA.MB.436,breast,16152,541,1139,926,1139,15951,18725,16097,16152,16351,18885
Cisplatin,Crizotinib,MDA.MB.453,breast,15445,839,1740,1382,1740,15431,18593,15602,15445,15398,18883
Cisplatin,Crizotinib,MDA.MB.468,breast,9602,7811,9231,8449,9231,10831,16762,9348,9602,9692,9290
Cisplatin,Crizotinib,MFM.223,breast,17797,304,390,301,390,17752,18883,17546,17797,18025,18881
Cisplatin,Crizotinib,OCUB.M,breast,14063,2631,3919,3110,3919,14106,18392,14286,14063,13558,18879
Cisplatin,Crizotinib,T47D,breast,16197,509,1074,836,1074,16244,18726,15829,16197,16621,18877
Cisplatin,Crizotinib,UACC.893,breast,10159,6438,7877,7169,7877,11034,17544,9593,10159,10701,9057
Cisplatin,5-Fluorouracil,BT.549,breast,9882,7019,8395,7779,8395,10830,17377,9462,9882,10124,9200
Cisplatin,5-Fluorouracil,CAL.120,breast,18151,229,246,228,246,17944,18914,18069,18151,18250,18875
Cisplatin,5-Fluorouracil,CAL.51,breast,3571,14914,15149,15070,15149,7458,5814,2951,3571,2600,3182
Cisplatin,5-Fluorouracil,CAMA.1,breast,15740,1678,3153,2067,3153,16052,18449,16260,15740,15683,18873
Cisplatin,5-Fluorouracil,COLO.824,breast,14841,1711,2733,2214,2733,14825,18479,14724,14841,14403,18871
Cisplatin,5-Fluorouracil,DU.4475,breast,6339,11613,12263,11920,12263,8684,12163,6186,6339,6764,6234
Cisplatin,5-Fluorouracil,EFM.19,breast,18330,164,122,169,122,18182,18935,18090,18330,18610,18869
Cisplatin,5-Fluorouracil,EVSA.T,breast,4006,14722,15083,14855,15083,7648,5976,3758,4006,3536,3350
Cisplatin,5-Fluorouracil,HCC1143,breast,14875,2270,3731,2689,3731,15550,18394,14243,14875,14579,18867
Cisplatin,5-Fluorouracil,HCC1187,breast,10896,6123,7818,6782,7818,12013,17555,11265,10896,10768,18865
Cisplatin,5-Fluorouracil,HCC1395,breast,18850,41,17,44,17,18784,18946,18740,18850,18771,18863
Cisplatin,5-Fluorouracil,HCC1419,breast,18826,46,22,47,22,18737,18945,18787,18826,18772,18861
Cisplatin,5-Fluorouracil,HCC1428,breast,12266,4013,5446,4625,5446,12690,18202,11925,12266,12513,18859
Cisplatin,5-Fluorouracil,HCC1806,breast,9953,7476,8949,8124,8949,11030,17096,10564,9953,9394,10121
Cisplatin,5-Fluorouracil,HCC1937,breast,9922,7013,8410,7765,8410,10825,17359,10068,9922,9251,9488
Cisplatin,5-Fluorouracil,HCC1954,breast,15591,1334,2547,1858,2547,15893,18489,15596,15591,15170,18857
Cisplatin,5-Fluorouracil,HCC202,breast,18133,207,156,213,156,17866,18922,17755,18133,18611,18855
Cisplatin,5-Fluorouracil,HCC38,breast,14525,1880,2835,2374,2835,14513,18464,14825,14525,14451,18853
Cisplatin,5-Fluorouracil,HCC70,breast,7111,11104,11834,11393,11834,9211,13241,7094,7111,6534,7472
Cisplatin,5-Fluorouracil,Hs.578.T,breast,7507,10134,11009,10526,11009,9257,14607,7639,7507,7394,6320
Cisplatin,5-Fluorouracil,JIMT.1,breast,12784,3358,4783,4000,4783,13151,18303,12540,12784,12736,18851
Cisplatin,5-Fluorouracil,MCF7,breast,14362,2169,3047,2666,3047,14671,18439,13805,14362,14073,18849
Cisplatin,5-Fluorouracil,MDA.MB.157,breast,8648,8766,9860,9309,9860,10282,15975,7249,8648,8521,9738
Cisplatin,5-Fluorouracil,MDA.MB.231,breast,10897,6433,8083,7080,8083,12235,17476,10258,10897,10485,18847
Cisplatin,5-Fluorouracil,MDA.MB.361,breast,17879,251,236,256,236,17697,18904,17838,17879,18138,18846
Cisplatin,5-Fluorouracil,MDA.MB.415,breast,17259,344,435,385,435,17087,18863,16739,17259,17644,18844
Cisplatin,5-Fluorouracil,MDA.MB.436,breast,8950,8210,9351,8871,9351,10406,16579,7741,8950,8927,9627
Cisplatin,5-Fluorouracil,MDA.MB.453,breast,9189,8496,9713,9064,9713,10756,16202,8489,9189,9199,10828
Cisplatin,5-Fluorouracil,MDA.MB.468,breast,8996,9788,11097,9975,11097,10583,14525,8493,8996,9249,11210
Cisplatin,5-Fluorouracil,MFM.223,breast,18616,102,88,105,88,18445,18933,18385,18616,18773,18842
Cisplatin,5-Fluorouracil,OCUB.M,breast,13468,3166,4689,3652,4689,13410,18324,14067,13468,13333,10846
Cisplatin,5-Fluorouracil,T47D,breast,16204,536,1104,900,1104,16149,18692,16398,16204,16569,18840
Cisplatin,5-Fluorouracil,UACC.893,breast,10855,5284,6565,5939,6565,11450,17872,10130,10855,10699,9814
Cisplatin,PF-4708671,HCC38,breast,16248,562,1261,965,1261,16577,18668,16106,16248,16352,18838
Cisplatin,PF-4708671,HCC70,breast,14793,1895,3183,2361,3183,15072,18435,14755,14793,14334,18836
Cisplatin,PF-4708671,Hs.578.T,breast,11677,7223,9115,7727,9115,13542,16937,11488,11677,10933,18834
Cisplatin,PF-4708671,JIMT.1,breast,16002,572,1178,1003,1178,15916,18665,16126,16002,15969,18832
Cisplatin,PF-4708671,MCF7,breast,11711,5181,6544,5747,6544,12881,17843,11243,11711,11613,18830
Cisplatin,PF-4708671,MDA.MB.157,breast,16575,410,706,541,706,16456,18780,15648,16575,16278,18828
Cisplatin,PF-4708671,MDA.MB.231,breast,14496,3244,5168,3618,5168,15545,18267,13680,14496,13732,18826
Cisplatin,PF-4708671,MDA.MB.361,breast,17195,377,603,468,603,17439,18820,17166,17195,17051,18824
Cisplatin,PF-4708671,MDA.MB.415,breast,18501,148,143,150,143,18458,18913,18467,18501,18369,18822
Cisplatin,PF-4708671,MDA.MB.436,breast,17511,302,359,314,359,17201,18870,17105,17511,17645,18820
Cisplatin,PF-4708671,MDA.MB.453,breast,15194,1406,2597,1964,2597,15806,18459,14269,15194,14868,18818
Cisplatin,PF-4708671,MDA.MB.468,breast,11500,5002,6441,5603,6441,12151,17909,10917,11500,11247,12075
Cisplatin,PF-4708671,MFM.223,breast,17901,256,318,262,318,17878,18875,17586,17901,17646,18815
Cisplatin,PF-4708671,OCUB.M,breast,14738,2440,3822,2853,3822,15109,18383,15366,14738,14471,18813
Cisplatin,PF-4708671,T47D,breast,18634,93,70,98,70,18400,18927,18292,18634,18774,18811
Cisplatin,PF-4708671,UACC.893,breast,10016,6601,7990,7333,7990,10879,17487,9813,10016,10129,9175
Cisplatin,PF-4708671,AU565,breast,12750,4045,5727,4600,5727,13641,18115,11755,12750,12490,18809
Cisplatin,PF-4708671,BT.549,breast,16004,518,990,885,990,15825,18695,15310,16004,15450,18807
Cisplatin,PF-4708671,CAL.120,breast,16938,420,780,533,780,17173,18733,17057,16938,16514,18805
Cisplatin,PF-4708671,CAL.51,breast,5966,12184,12810,12441,12810,8487,10759,5576,5966,6094,5944
Cisplatin,PF-4708671,CAMA.1,breast,16812,460,821,656,821,16972,18723,16994,16812,16683,18803
Cisplatin,PF-4708671,COLO.824,breast,18148,310,449,294,449,18228,18854,18173,18148,18026,18801
Cisplatin,PF-4708671,DU.4475,breast,5073,13278,13720,13452,13720,7993,8310,4997,5073,5035,4549
Cisplatin,PF-4708671,EFM.19,breast,18835,53,31,53,31,18819,18932,18802,18835,18612,18799
Cisplatin,PF-4708671,EVSA.T,breast,6753,11341,12015,11664,12015,8957,12593,6904,6753,6551,6928
Cisplatin,PF-4708671,HCC1143,breast,18157,236,298,236,298,18113,18873,18095,18157,18370,18797
Cisplatin,PF-4708671,HCC1187,breast,14966,1564,2717,2095,2717,15159,18453,14593,14966,14909,18795
Cisplatin,PF-4708671,HCC1395,breast,18938,4,4,4,4,18920,18939,18922,18938,18775,18793
Cisplatin,PF-4708671,HCC1419,breast,18469,143,129,144,129,18388,18907,18159,18469,18613,18791
Cisplatin,PF-4708671,HCC1428,breast,17376,336,457,371,457,17194,18845,17131,17376,17180,18789
Cisplatin,PF-4708671,HCC1806,breast,14173,3006,4510,3430,4510,14781,18330,14130,14173,14041,18787
Cisplatin,PF-4708671,HCC1937,breast,15644,1401,2646,1875,2646,15496,18477,15753,15644,15425,18785
Cisplatin,PF-4708671,HCC1954,breast,18142,202,184,205,184,17954,18887,17787,18142,18371,18783
Cisplatin,Bortezomib,EFM.19,breast,17391,345,448,381,448,17424,18842,17188,17391,17242,18781
Cisplatin,Bortezomib,EVSA.T,breast,8580,8434,9631,9092,9631,9923,16085,8191,8580,8999,8178
Cisplatin,Bortezomib,HCC1143,breast,13878,2598,3939,3137,3939,14796,18362,12512,13878,13617,18779
Cisplatin,Bortezomib,HCC1187,breast,5703,13028,13686,13200,13686,8458,8206,5489,5703,5318,6008
Cisplatin,Bortezomib,HCC1395,breast,18494,122,108,126,108,18265,18906,18276,18494,18776,18777
Cisplatin,Bortezomib,HCC1419,breast,16602,495,1032,749,1032,16582,18661,16880,16602,16570,18775
Cisplatin,Bortezomib,HCC1428,breast,7428,10846,11619,11155,11619,9519,13378,6525,7428,7085,7823
Cisplatin,Bortezomib,HCC1806,breast,8661,9318,10386,9754,10386,10905,15390,8702,8661,8121,9796
Cisplatin,Bortezomib,HCC1937,breast,9541,7642,9027,8325,9027,10733,16860,9693,9541,9074,9978
Cisplatin,Bortezomib,HCC1954,breast,16045,631,1347,1099,1347,16381,18565,16123,16045,15810,18773
Cisplatin,Bortezomib,HCC38,breast,3614,16434,16722,16305,16722,7634,3242,2680,3614,3370,4573
Cisplatin,Bortezomib,HCC70,breast,1166,18143,18200,18132,18200,6636,996,696,1166,1326,1259
Cisplatin,Bortezomib,Hs.578.T,breast,2066,17087,17199,17115,17199,6952,2313,1385,2066,1940,2117
Cisplatin,Bortezomib,JIMT.1,breast,13204,3504,5254,4097,5254,13652,18158,13189,13204,13035,18771
Cisplatin,Bortezomib,MCF7,breast,14051,2122,3249,2651,3249,14288,18408,13073,14051,13744,18769
Cisplatin,Bortezomib,MDA.MB.157,breast,9822,7097,8698,7864,8698,11138,17097,10189,9822,10031,11640
Cisplatin,Bortezomib,MDA.MB.231,breast,6326,12134,12789,12379,12789,9024,10783,5946,6326,5717,6625
Cisplatin,Bortezomib,MDA.MB.361,breast,16928,361,512,434,512,16707,18806,16435,16928,16622,18767
Cisplatin,Bortezomib,MDA.MB.415,breast,15417,1096,1990,1655,1990,15746,18505,15148,15417,15362,18765
Cisplatin,Bortezomib,MDA.MB.436,breast,10158,6910,8429,7642,8429,11619,17272,9979,10158,9969,10485
Cisplatin,Bortezomib,MDA.MB.453,breast,9913,7254,8781,7999,8781,11330,17051,9036,9913,9970,11655
Cisplatin,Bortezomib,MDA.MB.468,breast,6439,11634,12323,11919,12323,8642,11887,6416,6439,6234,6345
Cisplatin,Bortezomib,MFM.223,breast,14618,2536,4085,2975,4085,15353,18350,14703,14618,14244,18763
Cisplatin,Bortezomib,OCUB.M,breast,11569,5111,6659,5684,6659,11997,17783,11409,11569,11646,11506
Cisplatin,Bortezomib,T47D,breast,15579,726,1404,1256,1404,15651,18556,14908,15579,15632,18761
Cisplatin,Bortezomib,UACC.893,breast,7848,9777,10626,10186,10626,9366,15178,7802,7848,7776,7319
Cisplatin,Bortezomib,AU565,breast,4948,13649,14082,13802,14082,7991,7566,5051,4948,4599,5308
Cisplatin,Bortezomib,BT.549,breast,8849,8116,9360,8801,9360,10256,16477,8326,8849,8761,9789
Cisplatin,Bortezomib,CAL.120,breast,15820,739,1610,1248,1610,15744,18532,15729,15820,15497,18759
Cisplatin,Bortezomib,CAL.51,breast,3274,15488,15769,15585,15769,7216,4663,3266,3274,3036,2908
Cisplatin,Bortezomib,CAMA.1,breast,14859,2079,3242,2496,3242,15365,18406,14240,14859,14735,18757
Cisplatin,Bortezomib,COLO.824,breast,11027,5632,7167,6291,7167,12054,17684,9865,11027,11183,18755
Cisplatin,Bortezomib,DU.4475,breast,2896,15498,15741,15672,15741,7105,4678,2734,2896,2253,2197
Cisplatin,Temozolomide,AU565,breast,13092,3690,5170,4276,5170,14556,18163,12254,13092,13073,18753
Cisplatin,Sapitinib,AU565,breast,11144,5566,7169,6214,7169,12007,17680,11563,11144,10903,12282
Cisplatin,Temozolomide,BT.549,breast,15148,1421,2521,1967,2521,15423,18447,14754,15148,14869,18751
Cisplatin,Temozolomide,CAL.120,breast,18720,84,62,85,62,18657,18901,18604,18720,18777,18749
Cisplatin,Temozolomide,CAL.51,breast,5859,12090,12619,12380,12619,8299,11186,5161,5859,5484,5422
Cisplatin,Temozolomide,CAMA.1,breast,18345,152,136,159,136,18218,18878,17964,18345,18778,18747
Cisplatin,Temozolomide,COLO.824,breast,18370,222,277,218,277,18547,18856,18574,18370,18027,18745
Cisplatin,Temozolomide,DU.4475,breast,5263,12996,13572,13216,13572,8004,8543,4939,5263,5459,5213
Cisplatin,Temozolomide,EFM.19,breast,18900,30,14,30,14,18881,18912,18891,18900,18779,18743
Cisplatin,Temozolomide,EVSA.T,breast,10585,5974,7515,6689,7515,11566,17569,10619,10585,10751,11583
Cisplatin,Temozolomide,HCC1143,breast,18647,108,87,106,87,18600,18889,18374,18647,18780,18740
Cisplatin,Temozolomide,HCC1187,breast,17214,360,456,422,456,17189,18803,16690,17214,17181,18738
Cisplatin,Temozolomide,HCC1395,breast,18948,1,2,1,2,18942,18917,18939,18948,18781,18736
Cisplatin,Temozolomide,HCC1419,breast,18912,23,13,22,13,18857,18909,18839,18912,18782,18734
Cisplatin,Temozolomide,HCC1428,breast,17770,317,425,322,425,17836,18821,17649,17770,17555,18732
Cisplatin,Temozolomide,HCC1806,breast,15707,1241,2299,1769,2299,16603,18457,15245,15707,14975,18730
Cisplatin,Temozolomide,HCC1937,breast,14481,2375,3641,2827,3641,15006,18369,13978,14481,14277,18728
Cisplatin,Temozolomide,HCC1954,breast,18706,86,63,89,63,18680,18891,18673,18706,18783,18726
Cisplatin,Temozolomide,HCC38,breast,17728,294,323,296,323,17759,18846,17703,17728,17438,18724
Cisplatin,Temozolomide,HCC70,breast,14847,2049,3365,2490,3365,15391,18386,15411,14847,14331,18722
Cisplatin,Temozolomide,Hs.578.T,breast,13520,3248,4715,3788,4715,14662,18253,12849,13520,13434,18720
Cisplatin,Temozolomide,JIMT.1,breast,17596,334,460,362,460,17698,18779,17778,17596,17359,18718
Cisplatin,Temozolomide,MCF7,breast,16404,535,971,891,971,16765,18595,16209,16404,15970,18716
Cisplatin,Temozolomide,MDA.MB.157,breast,16885,469,799,666,799,17538,18637,17094,16885,16284,18714
Cisplatin,Temozolomide,MDA.MB.231,breast,15824,811,1525,1328,1525,16442,18531,15251,15824,15399,18712
Cisplatin,Temozolomide,MDA.MB.361,breast,18732,88,68,88,68,18694,18886,18706,18732,18372,18710
Cisplatin,Temozolomide,MDA.MB.415,breast,18867,33,19,34,19,18838,18899,18815,18867,18784,18708
Cisplatin,Temozolomide,MDA.MB.436,breast,17383,363,483,421,483,17577,18757,17199,17383,17007,18706
Cisplatin,Temozolomide,MDA.MB.453,breast,17424,341,454,375,454,17688,18775,17139,17424,17100,18704
Cisplatin,Temozolomide,MDA.MB.468,breast,14164,2183,3352,2698,3352,14395,18379,13303,14164,14165,18702
Cisplatin,Temozolomide,MFM.223,breast,18855,47,29,46,29,18815,18895,18810,18855,18785,18700
Cisplatin,Temozolomide,OCUB.M,breast,17309,342,442,379,442,17106,18786,17020,17309,17855,18698
Cisplatin,Temozolomide,T47D,breast,18678,95,80,96,80,18602,18880,18509,18678,18786,18696
Cisplatin,Temozolomide,UACC.893,breast,14871,1444,2217,2024,2217,14905,18451,14422,14871,14684,18694
Cisplatin,Sapitinib,BT.549,breast,15112,1110,1976,1689,1976,14901,18485,14411,15112,15144,18692
Cisplatin,Sapitinib,CAL.120,breast,10988,6578,8199,7188,8199,11788,17310,11284,10988,10529,10502
Cisplatin,Sapitinib,CAL.51,breast,4475,13752,14140,13934,14140,7460,7322,4399,4475,4319,4054
Cisplatin,Sapitinib,CAMA.1,breast,13647,2775,3815,3298,3815,14213,18348,13000,13647,13416,18690
Cisplatin,Sapitinib,COLO.824,breast,17114,374,636,467,636,17084,18700,17203,17114,16841,18688
Cisplatin,Sapitinib,DU.4475,breast,4467,13378,13708,13617,13708,7323,8114,4261,4467,4550,3080
Cisplatin,Sapitinib,EFM.19,breast,18065,223,225,229,225,18023,18853,17434,18065,18373,18686
Cisplatin,Sapitinib,EVSA.T,breast,7540,9949,10915,10418,10915,9481,14345,6988,7540,7642,8173
Cisplatin,Sapitinib,HCC1143,breast,15366,1205,2262,1773,2262,15638,18446,15247,15366,15063,18684
Cisplatin,Sapitinib,HCC1187,breast,5857,12368,13022,12601,13022,8203,10014,5872,5857,5849,5768
Cisplatin,Sapitinib,HCC1395,breast,18427,138,116,141,116,18194,18867,18112,18427,18787,18682
Cisplatin,Sapitinib,HCC1419,breast,16839,436,789,601,789,16864,18619,16440,16839,16684,18680
Cisplatin,Sapitinib,HCC1428,breast,16414,516,1004,827,1004,16571,18566,16762,16414,16183,18678
Cisplatin,Sapitinib,HCC1806,breast,11321,5168,6505,5785,6505,12080,17789,10651,11321,11594,18676
Cisplatin,Sapitinib,HCC1937,breast,14492,1781,2626,2314,2626,14290,18428,14445,14492,14068,18675
Cisplatin,Sapitinib,HCC1954,breast,13614,2830,4146,3346,4146,14088,18306,13585,13614,13461,18673
Cisplatin,Sapitinib,HCC38,breast,14594,2072,3424,2546,3424,14775,18372,14353,14594,14467,18671
Cisplatin,Sapitinib,HCC70,breast,8689,8174,9196,8868,9196,9811,16560,7960,8689,8847,8426
Cisplatin,Sapitinib,Hs.578.T,breast,7067,11133,11902,11441,11902,9273,12602,5954,7067,7080,8897
Cisplatin,Sapitinib,JIMT.1,breast,12012,4832,6333,5389,6333,12783,17827,12256,12012,12200,18669
Cisplatin,Sapitinib,MCF7,breast,11433,5937,7556,6583,7556,13268,17528,10982,11433,10585,18667
Cisplatin,Sapitinib,MDA.MB.157,breast,13729,2475,3708,3021,3708,14064,18352,13024,13729,13462,18665
Cisplatin,Sapitinib,MDA.MB.231,breast,10192,6809,8273,7525,8273,11242,17263,9800,10192,10429,11734
Cisplatin,Sapitinib,MDA.MB.361,breast,13622,3048,4265,3541,4265,14612,18284,12815,13622,13341,18663
Cisplatin,Sapitinib,MDA.MB.415,breast,13939,2753,4037,3246,4037,14830,18312,14558,13939,13471,18661
Cisplatin,Sapitinib,MDA.MB.436,breast,15537,736,1427,1281,1427,15352,18520,15524,15537,15912,18659
Cisplatin,Sapitinib,MDA.MB.453,breast,7725,11174,12021,11400,12021,10303,12500,7543,7725,7015,9526
Cisplatin,Sapitinib,MDA.MB.468,breast,6772,10978,11633,11335,11633,8728,13100,6258,6772,6575,6836
Cisplatin,Sapitinib,MFM.223,breast,16852,497,1097,740,1097,17223,18549,16945,16852,16353,18657
Cisplatin,Sapitinib,OCUB.M,breast,7364,10838,11692,11145,11692,9380,12834,6786,7364,6742,8606
Cisplatin,Sapitinib,T47D,breast,15406,814,1578,1356,1578,15264,18501,14940,15406,15189,18655
Cisplatin,Sapitinib,UACC.893,breast,5359,12440,12928,12739,12928,7736,10184,4862,5359,5690,4120
Cisplatin,Luminespib,AU565,breast,11176,5947,7525,6606,7525,12232,17541,10851,11176,11243,18653
Cisplatin,Luminespib,BT.549,breast,13950,2570,3914,3088,3914,14297,18332,14118,13950,13435,18651
Cisplatin,Luminespib,CAL.120,breast,16106,816,1622,1292,1622,16346,18494,16017,16106,15560,18649
Cisplatin,Luminespib,CAL.51,breast,5414,12840,13449,13059,13449,7827,8916,5514,5414,5000,4795
Cisplatin,Luminespib,CAMA.1,breast,16948,426,744,546,744,17070,18611,16765,16948,17008,18647
Cisplatin,Luminespib,COLO.824,breast,17485,330,414,361,414,17478,18748,17497,17485,17439,18645
Cisplatin,Luminespib,DU.4475,breast,3485,14817,15140,14998,15140,7006,5675,3599,3485,3233,2217
Cisplatin,Luminespib,EFM.19,breast,18622,121,103,121,103,18591,18857,18494,18622,18614,18643
Cisplatin,Luminespib,EVSA.T,breast,8837,8653,9804,9202,9804,10223,15838,8673,8837,8534,9378
Cisplatin,Luminespib,HCC1143,breast,17870,277,308,278,308,17844,18808,17629,17870,17647,18641
Cisplatin,Luminespib,HCC1187,breast,13134,3631,5329,4210,5329,13486,18078,12987,13134,12926,18639
Cisplatin,Luminespib,HCC1395,breast,18927,13,5,15,5,18885,18874,18876,18927,18788,18637
Cisplatin,Luminespib,HCC1419,breast,17768,332,485,351,485,17811,18713,17611,17768,17556,18635
Cisplatin,Luminespib,HCC1428,breast,15749,733,1469,1252,1469,15789,18509,15398,15749,15400,18633
Cisplatin,Luminespib,HCC1806,breast,12579,4782,6538,5273,6538,13937,17782,11453,12579,11577,18631
Cisplatin,Luminespib,HCC1937,breast,13545,3042,4298,3525,4298,13849,18280,12928,13545,13818,18629
Cisplatin,Luminespib,HCC1954,breast,17700,326,418,346,418,17783,18728,17825,17700,17306,18627
Cisplatin,Luminespib,HCC38,breast,14030,2683,4101,3173,4101,14348,18315,13971,14030,13661,18625
